Мандант;Роль;ИмяПользоват;Начальная дата;Конечная дата;Исключая;Дата;Время;Метка UTC-времени в краткой форме (ГГГГМ;Присвоение из орг. менеджмента HR;Присвоение из групповой роли
400;ZGBI014_2D00_FIREP;XDOGNG03;25.12.2017;31.12.9999;;27.12.2017;18:48:22;0;;
400;ZGBI014_2D00_FIREP;XDOGNI;25.12.2017;31.12.9999;;25.12.2017;12:30:39;0;;
400;ZGBI014_2D00_FIREP;XDOGOA05;25.12.2017;31.12.9999;;25.12.2017;12:30:42;0;;
400;ZGBI014_2D00_FIREP;XDOGRA02;20.02.2018;31.12.9999;;20.02.2018;14:57:57;0;;
400;ZGBI014_2D00_FIREP;XDOITY01;25.12.2017;31.12.9999;;25.12.2017;12:30:58;0;;
400;ZGBI014_2D00_FIREP;XDOIYI;25.12.2017;31.12.9999;;25.12.2017;12:31:04;0;;
400;ZGBI014_2D00_FIREP;XDOIYV02;29.05.2018;31.12.9999;;29.05.2018;14:33:48;0;;
400;ZGBI014_2D00_FIREP;XDOKAA28;25.12.2017;31.12.9999;;25.12.2017;12:31:05;0;;
400;ZGBI014_2D00_FIREP;XDOKAA40;30.05.2018;31.12.9999;;30.05.2018;15:33:27;0;;
400;ZGBI014_2D00_FIREP;XDOKAV40;25.12.2017;31.12.9999;;25.12.2017;12:31:15;0;;
400;ZGBI014_2D00_FIREP;XDOKIM01;25.12.2017;31.12.9999;;25.12.2017;12:31:41;0;;
400;ZGBI014_2D00_FIREP;XDOKIY;25.12.2017;31.12.9999;;27.12.2017;18:48:26;0;;
400;ZGBI014_2D00_FIREP;XDOKLP01;25.12.2017;31.12.9999;;25.12.2017;12:31:49;0;;
400;ZGBI014_2D00_FIREP;XDOKMM01;25.12.2017;31.12.9999;;27.12.2017;18:48:30;0;;
400;ZGBI014_2D00_FIREP;XDOKMM03;25.12.2017;31.12.9999;;27.12.2017;18:48:32;0;;
400;ZGBI014_2D00_FIREP;XDOKMS02;25.12.2017;31.12.9999;;25.12.2017;12:31:56;0;;
400;ZGBI014_2D00_FIREP;XDOKMV24;25.12.2017;31.12.9999;;25.12.2017;12:31:58;0;;
400;ZGBI014_2D00_FIREP;XDOKNA18;25.12.2017;31.12.9999;;27.12.2017;18:48:33;0;;
400;ZGBI014_2D00_FIREP;XDOKNN09;15.02.2018;31.12.9999;;15.02.2018;11:38:13;0;;
