Статьи доходов и расходов	МВЗ	ЦО3
3201010100	D100651300	D10013
3201010100	D100651400	D10013
3201010100	D100651500	D10013
3201010100	D100651600	D10013
3201010100	D100651700	D10013
3201010100	D100651800	D10013
3201010100	D100651900	D10013
3201010100	D100652000	D10013
3201010100	D100652100	D10013
3201010100	D100652200	D10013
3201010100	D100611600	D10013
3201010100	D100611700	D10013
3201010100	D100870000	D10013
3201010100	D100871200	D10013
3201020000	D100650000	D10013
3201020000	D100650200	D10013
3201020000	D100650300	D10013
3201020000	D100650400	D10013
3201020000	D100650500	D10013
3201020000	D100650600	D10013
3201020000	D100650700	D10013
3201020000	D100650800	D10013
3201020000	D100650900	D10013
3201020000	D100651000	D10013
3201020000	D100651100	D10013
3201020000	D100651200	D10013
3201020000	D100651300	D10013
3201020000	D100651400	D10013
3201020000	D100651500	D10013
3201020000	D100651600	D10013
3201020000	D100651700	D10013
3201020000	D100651800	D10013
3201020000	D100651900	D10013
3201020000	D100652000	D10013
3201020000	D100652100	D10013
3201020000	D100652200	D10013
3201020000	D100611600	D10013
3201020000	D100611700	D10013
3201020000	D100870000	D10013
3201020000	D100871200	D10013
3201020100	D100650000	D10013
3201020100	D100650200	D10013
3201020100	D100650300	D10013
3201020100	D100650400	D10013
3201020100	D100650500	D10013
3201020100	D100650600	D10013
3201020100	D100650700	D10013
3201020100	D100650800	D10013
3201020100	D100650900	D10013
3201020100	D100651000	D10013
3201020100	D100651100	D10013
3201020100	D100651200	D10013
3201020100	D100651300	D10013
3201020100	D100651400	D10013
3201020100	D100651500	D10013
3201020100	D100651600	D10013
3201020100	D100651700	D10013
3201020100	D100651800	D10013
3201020100	D100651900	D10013
3201020100	D100652000	D10013
3201020100	D100652100	D10013
3201020100	D100652200	D10013
3201020100	D100611600	D10013
3201020100	D100611700	D10013
3201020100	D100870000	D10013
3201020100	D100871200	D10013
3201030000	D100650000	D10013
3201030000	D100650200	D10013
3201030000	D100650300	D10013
3201030000	D100650400	D10013
3201030000	D100650500	D10013
3201030000	D100650600	D10013
3201030000	D100650700	D10013
3201030000	D100650800	D10013
3201030000	D100650900	D10013
3201030000	D100651000	D10013
3201030000	D100651100	D10013
3201030000	D100651200	D10013
3201030000	D100651300	D10013
3201030000	D100651400	D10013
3201030000	D100651500	D10013
3201030000	D100651600	D10013
3201030000	D100651700	D10013
3201030000	D100651800	D10013
3201030000	D100651900	D10013
3201030000	D100652000	D10013
3201030000	D100652100	D10013
3201030000	D100652200	D10013
3201030000	D100611600	D10013
3201030000	D100611700	D10013
3201030000	D100870000	D10013
3201030000	D100871200	D10013
3201030100	D100650000	D10013
3201030100	D100650200	D10013
3201030100	D100650300	D10013
3201030100	D100650400	D10013
3201030100	D100650500	D10013
3201030100	D100650600	D10013
3201030100	D100650700	D10013
3201030100	D100650800	D10013
3201030100	D100650900	D10013
3201030100	D100651000	D10013
3201030100	D100651100	D10013
3201030100	D100651200	D10013
3201030100	D100651300	D10013
3201030100	D100651400	D10013
3201030100	D100651500	D10013
3201030100	D100651600	D10013
3201030100	D100651700	D10013
3201030100	D100651800	D10013
3201030100	D100651900	D10013
3201030100	D100652000	D10013
3201030100	D100652100	D10013
3201030100	D100652200	D10013
3201030100	D100611600	D10013
3201030100	D100611700	D10013
3201030100	D100870000	D10013
3201030100	D100871200	D10013
3201040000	D100650000	D10013
3201040000	D100650200	D10013
3201040000	D100650300	D10013
3201040000	D100650400	D10013
3201040000	D100650500	D10013
3201040000	D100650600	D10013
3201040000	D100650700	D10013
3201040000	D100650800	D10013
3201040000	D100650900	D10013
3201040000	D100651000	D10013
3201040000	D100651100	D10013
3201040000	D100651200	D10013
3201040000	D100651300	D10013
3201040000	D100651400	D10013
3201040000	D100651500	D10013
3201040000	D100651600	D10013
3201040000	D100651700	D10013
3201040000	D100651800	D10013
3201040000	D100651900	D10013
3201040000	D100652000	D10013
3201040000	D100652100	D10013
3201040000	D100652200	D10013
3201040000	D100611600	D10013
3201040000	D100611700	D10013
3201040000	D100870000	D10013
3201040000	D100871200	D10013
3201040100	D100650000	D10013
3201040100	D100650200	D10013
3201040100	D100650300	D10013
3201040100	D100650400	D10013
3201040100	D100650500	D10013
3201040100	D100650600	D10013
3201040100	D100650700	D10013
3201040100	D100650800	D10013
3201040100	D100650900	D10013
3201040100	D100651000	D10013
3201040100	D100651100	D10013
3201040100	D100651200	D10013
3201040100	D100651300	D10013
3201040100	D100651400	D10013
3201040100	D100651500	D10013
3201040100	D100651600	D10013
3201040100	D100651700	D10013
3201040100	D100651800	D10013
3201040100	D100651900	D10013
3201040100	D100652000	D10013
3201040100	D100652100	D10013
3201040100	D100652200	D10013
3201040100	D100611600	D10013
3201040100	D100611700	D10013
3201040100	D100870000	D10013
3201040100	D100871200	D10013
3201060000	D100650000	D10013
3201060000	D100650200	D10013
3201060000	D100650300	D10013
3201060000	D100650400	D10013
3201060000	D100650500	D10013
3201060000	D100650600	D10013
3201060000	D100650700	D10013
3201060000	D100650800	D10013
3201060000	D100650900	D10013
3201060000	D100651000	D10013
3201060000	D100651100	D10013
3201060000	D100651200	D10013
3201060000	D100651300	D10013
3201060000	D100651400	D10013
3201060000	D100651500	D10013
3201060000	D100651600	D10013
3201060000	D100651700	D10013
3201060000	D100651800	D10013
3201060000	D100651900	D10013
3201060000	D100652000	D10013
3201060000	D100652100	D10013
3201060000	D100652200	D10013
3201060000	D100611600	D10013
3201060000	D100611700	D10013
3201060000	D100870000	D10013
3201060000	D100871200	D10013
3201060100	D100650000	D10013
3201060100	D100650200	D10013
3201060100	D100650300	D10013
3201060100	D100650400	D10013
3201060100	D100650500	D10013
3201060100	D100650600	D10013
3201060100	D100650700	D10013
3201060100	D100650800	D10013
3201060100	D100650900	D10013
3201060100	D100651000	D10013
3201060100	D100651100	D10013
3201060100	D100651200	D10013
3201060100	D100651300	D10013
3201060100	D100651400	D10013
3201060100	D100651500	D10013
3201060100	D100651600	D10013
3201060100	D100651700	D10013
3201060100	D100651800	D10013
3201060100	D100651900	D10013
3201060100	D100652000	D10013
3201060100	D100652100	D10013
3201060100	D100652200	D10013
3201060100	D100611600	D10013
3201060100	D100611700	D10013
3201060100	D100870000	D10013
3201060100	D100871200	D10013
3201070000	D100650000	D10013
3201070000	D100650200	D10013
3201070000	D100650300	D10013
3201070000	D100650400	D10013
3201070000	D100650500	D10013
3201070000	D100650600	D10013
3201070000	D100650700	D10013
3201070000	D100650800	D10013
3201070000	D100650900	D10013
3201070000	D100651000	D10013
3201070000	D100651100	D10013
3201070000	D100651200	D10013
3201070000	D100651300	D10013
3201070000	D100651400	D10013
3201070000	D100651500	D10013
3201070000	D100651600	D10013
3201070000	D100651700	D10013
3201070000	D100651800	D10013
3201070000	D100651900	D10013
3201070000	D100652000	D10013
3201070000	D100652100	D10013
3201070000	D100652200	D10013
3201070000	D100611600	D10013
3201070000	D100611700	D10013
3201070000	D100870000	D10013
3201070000	D100871200	D10013
3201070100	D100650000	D10013
3201070100	D100650200	D10013
3201070100	D100650300	D10013
3201070100	D100650400	D10013
3201070100	D100650500	D10013
3201070100	D100650600	D10013
3201070100	D100650700	D10013
3201070100	D100650800	D10013
3201070100	D100650900	D10013
3201070100	D100651000	D10013
3201070100	D100651100	D10013
3201070100	D100651200	D10013
3201070100	D100651300	D10013
3201070100	D100651400	D10013
3201070100	D100651500	D10013
3201070100	D100651600	D10013
3201070100	D100651700	D10013
3201070100	D100651800	D10013
3201070100	D100651900	D10013
3201070100	D100652000	D10013
3201070100	D100652100	D10013
3201070100	D100652200	D10013
3201070100	D100611600	D10013
3201070100	D100611700	D10013
3201070100	D100870000	D10013
3201070100	D100871200	D10013
3201080000	D100650000	D10013
3201080000	D100650200	D10013
3201080000	D100650300	D10013
3201080000	D100650400	D10013
3201080000	D100650500	D10013
3201080000	D100650600	D10013
3201080000	D100650700	D10013
3201080000	D100650800	D10013
3201080000	D100650900	D10013
3201080000	D100651000	D10013
3201080000	D100651100	D10013
3201080000	D100651200	D10013
3201080000	D100651300	D10013
3201080000	D100651400	D10013
3201080000	D100651500	D10013
3201080000	D100651600	D10013
3201080000	D100651700	D10013
3201080000	D100651800	D10013
3201080000	D100651900	D10013
3201080000	D100652000	D10013
3201080000	D100652100	D10013
3201080000	D100652200	D10013
3201080000	D100611600	D10013
3201080000	D100611700	D10013
3201080000	D100870000	D10013
3201080000	D100871200	D10013
3201080100	D100650000	D10013
3201080100	D100650200	D10013
3201080100	D100650300	D10013
3201080100	D100650400	D10013
3201080100	D100650500	D10013
3201080100	D100650600	D10013
3201080100	D100650700	D10013
3201080100	D100650800	D10013
3201080100	D100650900	D10013
3201080100	D100651000	D10013
3201080100	D100651100	D10013
3201080100	D100651200	D10013
3201080100	D100651300	D10013
3201080100	D100651400	D10013
3201080100	D100651500	D10013
3201080100	D100651600	D10013
3201080100	D100651700	D10013
3201080100	D100651800	D10013
3201080100	D100651900	D10013
3201080100	D100652000	D10013
3201080100	D100652100	D10013
3201080100	D100652200	D10013
3201080100	D100611600	D10013
3201080100	D100611700	D10013
3201080100	D100870000	D10013
3201080100	D100871200	D10013
3201090000	D100650000	D10013
3201090000	D100650200	D10013
3201090000	D100650300	D10013
3201090000	D100650400	D10013
3201090000	D100650500	D10013
3201090000	D100650600	D10013
3201090000	D100650700	D10013
3201090000	D100650800	D10013
3201090000	D100650900	D10013
3201090000	D100651000	D10013
3201090000	D100651100	D10013
3201090000	D100651200	D10013
3201090000	D100651300	D10013
3201090000	D100651400	D10013
3201090000	D100651500	D10013
3201090000	D100651600	D10013
3201090000	D100651700	D10013
3201090000	D100651800	D10013
3201090000	D100651900	D10013
3201090000	D100652000	D10013
3201090000	D100652100	D10013
3201090000	D100652200	D10013
3201090000	D100611600	D10013
3201090000	D100611700	D10013
3201090000	D100870000	D10013
3201090000	D100871200	D10013
3201090100	D100650000	D10013
3201090100	D100650200	D10013
3201090100	D100650300	D10013
3201090100	D100650400	D10013
3201090100	D100650500	D10013
3201090100	D100650600	D10013
3201090100	D100650700	D10013
3201090100	D100650800	D10013
3201090100	D100650900	D10013
3201090100	D100651000	D10013
3201090100	D100651100	D10013
3201090100	D100651200	D10013
3201090100	D100651300	D10013
3201090100	D100651400	D10013
3201090100	D100651500	D10013
3201090100	D100651600	D10013
3201090100	D100651700	D10013
3201090100	D100651800	D10013
3201090100	D100651900	D10013
3201090100	D100652000	D10013
3201090100	D100652100	D10013
3201090100	D100652200	D10013
3201090100	D100611600	D10013
3201090100	D100611700	D10013
3201090100	D100870000	D10013
3201090100	D100871200	D10013
3201100000	D100650000	D10013
3201100000	D100650200	D10013
3201100000	D100650300	D10013
3201100000	D100650400	D10013
3201100000	D100650500	D10013
3201100000	D100650600	D10013
3201100000	D100650700	D10013
3201100000	D100650800	D10013
3201100000	D100650900	D10013
3201100000	D100651000	D10013
3201100000	D100651100	D10013
3201100000	D100651200	D10013
3201100000	D100651300	D10013
3201100000	D100651400	D10013
3201100000	D100651500	D10013
3201100000	D100651600	D10013
3201100000	D100651700	D10013
3201100000	D100651800	D10013
3201100000	D100651900	D10013
3201100000	D100652000	D10013
3201100000	D100652100	D10013
3201100000	D100652200	D10013
3201100000	D100611600	D10013
3201100000	D100611700	D10013
3201100000	D100870000	D10013
3201100000	D100871200	D10013
3201100100	D100650000	D10013
3201100100	D100650200	D10013
3201100100	D100650300	D10013
3201100100	D100650400	D10013
3201100100	D100650500	D10013
3201100100	D100650600	D10013
3201100100	D100650700	D10013
3201100100	D100650800	D10013
3201100100	D100650900	D10013
3201100100	D100651000	D10013
3201100100	D100651100	D10013
3201100100	D100651200	D10013
3201100100	D100651300	D10013
3201100100	D100651400	D10013
3201100100	D100651500	D10013
3201100100	D100651600	D10013
3201100100	D100651700	D10013
3201100100	D100651800	D10013
3201100100	D100651900	D10013
3201100100	D100652000	D10013
3201100100	D100652100	D10013
3201100100	D100652200	D10013
3201100100	D100611600	D10013
3201100100	D100611700	D10013
3201100100	D100870000	D10013
3201100100	D100871200	D10013
3201110000	D100650000	D10013
3201110000	D100650200	D10013
3201110000	D100650300	D10013
3201110000	D100650400	D10013
3201110000	D100650500	D10013
3201110000	D100650600	D10013
3201110000	D100650700	D10013
3201110000	D100650800	D10013
3201110000	D100650900	D10013
3201110000	D100651000	D10013
3201110000	D100651100	D10013
3201110000	D100651200	D10013
3201110000	D100651300	D10013
3201110000	D100651400	D10013
3201110000	D100651500	D10013
3201110000	D100651600	D10013
3201110000	D100651700	D10013
3201110000	D100651800	D10013
3201110000	D100651900	D10013
3201110000	D100652000	D10013
3201110000	D100652100	D10013
3201110000	D100652200	D10013
3201110000	D100611600	D10013
3201110000	D100611700	D10013
3201110000	D100870000	D10013
3201110000	D100871200	D10013
3201110100	D100650000	D10013
3201110100	D100650200	D10013
3201110100	D100650300	D10013
3201110100	D100650400	D10013
3201110100	D100650500	D10013
3201110100	D100650600	D10013
3201110100	D100650700	D10013
3201110100	D100650800	D10013
3201110100	D100650900	D10013
3201110100	D100651000	D10013
3201110100	D100651100	D10013
3201110100	D100651200	D10013
3201110100	D100651300	D10013
3201110100	D100651400	D10013
3201110100	D100651500	D10013
3201110100	D100651600	D10013
3201110100	D100651700	D10013
3201110100	D100651800	D10013
3201110100	D100651900	D10013
3201110100	D100652000	D10013
3201110100	D100652100	D10013
3201110100	D100652200	D10013
3201110100	D100611600	D10013
3201110100	D100611700	D10013
3201110100	D100870000	D10013
3201110100	D100871200	D10013
3201120000	D100650000	D10013
3201120000	D100650200	D10013
3201120000	D100650300	D10013
3201120000	D100650400	D10013
3201120000	D100650500	D10013
3201120000	D100650600	D10013
3201120000	D100650700	D10013
3201120000	D100650800	D10013
3201120000	D100650900	D10013
3201120000	D100651000	D10013
3201120000	D100651100	D10013
3201120000	D100651200	D10013
3201120000	D100651300	D10013
3201120000	D100651400	D10013
3201120000	D100651500	D10013
3201120000	D100651600	D10013
3201120000	D100651700	D10013
3201120000	D100651800	D10013
3201120000	D100651900	D10013
3201120000	D100652000	D10013
3201120000	D100652100	D10013
3201120000	D100652200	D10013
3201120000	D100611600	D10013
3201120000	D100611700	D10013
3201120000	D100870000	D10013
3201120000	D100871200	D10013
3201120100	D100650000	D10013
3201120100	D100650200	D10013
3201120100	D100650300	D10013
3201120100	D100650400	D10013
3201120100	D100650500	D10013
3201120100	D100650600	D10013
3201120100	D100650700	D10013
3201120100	D100650800	D10013
3201120100	D100650900	D10013
3201120100	D100651000	D10013
3201120100	D100651100	D10013
3201120100	D100651200	D10013
3201120100	D100651300	D10013
3201120100	D100651400	D10013
3201120100	D100651500	D10013
3201120100	D100651600	D10013
3201120100	D100651700	D10013
3201120100	D100651800	D10013
3201120100	D100651900	D10013
3201120100	D100652000	D10013
3201120100	D100652100	D10013
3201120100	D100652200	D10013
3201120100	D100611600	D10013
3201120100	D100611700	D10013
3201120100	D100870000	D10013
3201120100	D100871200	D10013
3201130000	D100650000	D10013
3201130000	D100650200	D10013
3201130000	D100650300	D10013
3201130000	D100650400	D10013
3201130000	D100650500	D10013
3201130000	D100650600	D10013
3201130000	D100650700	D10013
3201130000	D100650800	D10013
3201130000	D100650900	D10013
3201130000	D100651000	D10013
3201130000	D100651100	D10013
3201130000	D100651200	D10013
3201130000	D100651300	D10013
3201130000	D100651400	D10013
3201130000	D100651500	D10013
3201130000	D100651600	D10013
3201130000	D100651700	D10013
3201130000	D100651800	D10013
3201130000	D100651900	D10013
3201130000	D100652000	D10013
3201130000	D100652100	D10013
3201130000	D100652200	D10013
3201130000	D100611600	D10013
3201130000	D100611700	D10013
3201130000	D100870000	D10013
3201130000	D100871200	D10013
3201130100	D100650000	D10013
3201130100	D100650200	D10013
3201130100	D100650300	D10013
3201130100	D100650400	D10013
