XDOSAV60;ZGPM021_MPLORD
XDOSAV60;ZGPM031_MMESUR
XDOSAV60;ZGPM014_DOBJCT
XDOSAV60;ZUPM021_WKS_D220_PLN_431
XDOSAV60;ZUPM031_WKS_D220_ALL
XDOSAV60;ZUPM014_WKS_D220_ALL
XDOSAV60;ZGPM012_MTCHOB
XDOSAV60;ZUPM012_WKS_D220_ALL
XDONRA01;ZGPM041_MORCLS
XDONRA01;ZEPM021_S30_MPLORD
XDONRA01;ZEPM021_S20_MPLORD
XDONRA01;ZUPM041_WKS_D420_ALL
XDONRA01;ZGPM012_MTCHOB
XDONRA01;ZUPM012_WKS_D420_ALL
XDOKGI;ZGPM021_MPLORD
XDOKGI;ZUPM021_WKS_D222_PLN_090
XDOSII07;ZGPM021_MPLORD
XDOSII07;ZUPM021_WKS_D220_PLN_611
XDOSII07;ZGPM012_MTCHOB
XDOSII07;ZUPM012_WKS_D220_ALL
XDOGAM07;ZGPM041_MORCLS
XDOGAM07;ZUPM021_WKS_D420_PLN_901
XDOGAM07;ZEPM021_S30_MPLORD
XDOGAM07;ZEPM021_S20_MPLORD
XDOGAM07;ZUPM041_WKS_D420_ALL
XDOGAM07;ZGPM012_MTCHOB
XDOGAM07;ZUPM021_WKS_D420
XDOGAM07;ZUPM012_WKS_D420_ALL
XDOEAI01;ZGPM021_MPLORD
XDOEAI01;ZGPM031_MMESUR
XDOEAI01;ZGPM014_DOBJCT
XDOEAI01;ZGPM041_MORCLS
XDOEAI01;ZUPM021_WKS_D220_PLN_311
XDOEAI01;ZUPM031_WKS_D220_ALL
XDOEAI01;ZUPM014_WKS_D220_ALL
XDOEAI01;ZUPM041_WKS_D220_ALL
XDOEAI01;ZGPM012_MTCHOB
XDOEAI01;ZUPM012_WKS_D220_ALL
XDOKSV23;ZGPM021_MPLORD
XDOKSV23;ZGPM014_DOBJCT
XDOKSV23;ZGPM041_MORCLS
XDOKSV23;ZUPM021_WKS_D220_PLN_621
XDOKSV23;ZUPM014_WKS_D220_ALL
XDOKSV23;ZUPM041_WKS_D220_ALL
XDOKSV23;ZGPM012_MTCHOB
XDOKSV23;ZUPM012_WKS_D220_ALL
XDOYMA02;ZGPM021_MPLORD
XDOYMA02;ZGPM031_MMESUR
XDOYMA02;ZGPM014_DOBJCT
XDOYMA02;ZUPM021_WKS_D220_PLN_421
XDOYMA02;ZUPM031_WKS_D220_ALL
XDOYMA02;ZUPM014_WKS_D220_ALL
XDOYMA02;ZGPM012_MTCHOB
XDOYMA02;ZUPM012_WKS_D220_ALL
XDOBGG01;ZGPM021_MPLORD
XDOBGG01;ZGPM031_MMESUR
XDOBGG01;ZGPM013_MTSKLS
XDOBGG01;ZGPM041_MORCLS
XDOBGG01;ZUPM021_WKS_D220_PLN_131
XDOBGG01;ZUPM031_WKS_D220_ALL
XDOBGG01;ZUPM013_WKS_D220_CR
XDOBGG01;ZUPM041_WKS_D220_ALL
XDOBGG01;ZGPM012_MTCHOB
XDOBGG01;ZUPM012_WKS_D220_ALL
XDOBAN14;ZGPM051_DREPRT
XDOBAN14;ZUPM051_WKS_D202_ALL
XDOVIB;ZGPM051_DREPRT
XDOVIB;ZUPM051_WKS_D202_ALL
XDOGDV03;ZGPM021_MPLORD
XDOGDV03;ZGPM014_DOBJCT
XDOGDV03;ZGPM051_DREPRT
XDOGDV03;ZUPM021_WKS_D202_PLN_011
