Роль;Название роли
ZGIM01X_2D00_INV_INITIATOR;"Инициатор инвестиций ПАО ""ТГК-1"""
ZGIM01X_2D00_INV_INITIATOR;Инициатор инвестиций
ZGIM01X_2D00_INV_KURATOR;"Куратор инвестиционной программы  ПАО ""ТГК-1"""
ZGIM01X_2D00_TECH_EXPERT;Групповая роль Технический эксперт
ZGIM02X_2D00_PROJ_KURATOR;"Куратор проекта ПАО ""ТГК-1"""
ZGIM03X_2D00_PROJ_MANAGER;"Куратор (менеджер проекта) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_MSFO;"Бухгалтер по учету КВ (МСФО) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_NU;"Бухгалтер по учету КВ (НУ) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACCOUNT_PSBU;"Бухгалтер по учету КВ (филиал, РСБУ) ПАО ""ТГК-1"""
ZGIM03X_2D00_PS_ACNT_PSBU_IA;"Бухгалтер по учету КВ (ИА, РСБУ) ПАО ""ТГК-1"""
ZGMM101_2D00_CR_PLANIR_PPM;Групп. роль_Специалист отдела ресурсов_ТГК
ZGMM101_2D00_ZGU_PLAN_USL;Групп. роль_Специалист по планированию потребности услуг_ТГК
ZGMM101_2D00_ZSM_ZNB_OZ;Групп. роль_Специалист по планированию потребности МТР_ТГК
ZGMM101_2D00_ZTO;Групп. роль_Специалист отд. топ. обеспеч. по план. потребн. топлива_ТГК
ZGMM102_2D00_PRICE;Групп. роль_Специалист по ценообразованию_ТГК
ZGMM103_2D00_FK_PR_DEBL;Групп. роль_Согласование - фин. контроль_ТГК
ZGMM103_2D00_PR_PR_DEBL;Групп. роль_Согласование - ответств. за плановые цены_ТГК
ZGMM103_2D00_SL_PR_DEBL;Групп. роль_Согласование - служба логистики/ответств. за ресурсы_ТГК
ZGMM103_2D00_TS_PR_DEBL;Групповая роль_Согласование_отв. за ЦФО_ТГК
ZGMM103_2D00_Z1_DEBL_ZAYAV;Групп. роль_Согласование заявки_отв. за БСП_ТГК
ZGMM103_2D00_Z2_GK;Групп. роль_Согласование - отв. за ГКПЗ_ТГК
ZGMM103_2D00_ZP_PR_DEBL;Групп. роль_Согласование - заявителем потребности_ТГК
ZGMM104_2D00_JOIN_LOT;Групп. роль_Специалист по работе с лотами_ТГК
ZGMM104_2D00_JOIN_PR_LOT;Групп. роль_Специалист по компоновке заявок в лот_ТГК
ZGMM111_2D00_ZAKUP_OTCH;Групп. роль_Cтандартные отчеты по заявкам и заказам без закупочных заказов_ТГК
ZGMM204_2D00_KONTROLER;Групп. роль_Контроллер закупки_ТГК
ZGMM204_2D00_LOT_ZPROVZAK;Групп. роль_Просмотр лотов (ZPROVZAK)_ТГК
ZGMM204_2D00_VW_PREDL;Групп. роль_Просмотр предложений (ZPROVZAK)_ТГК
ZGMM204_2D00_Z6_Y6_W6_PR_DEBL;Групп. роль_Согл._Предложение - Победитель_ТГК
ZGMM204_2D00_Z7_PR_DEBL;Групп. роль_Согл._Предложение - Переторжка_ТГК
ZGMM204_2D00_ZPROVZAK;Групп. роль_Специалист по проведению закупочных процедур_ТГК
ZGMM205_2D00_INFOREC_K_OPERATE;Групп. роль_Специалист по рег. цен по МТР на ОХ_ТГК
ZGMM205_2D00_KURATOR;Групп. роль_Куратор договора по закупкам МТР, работ, услуг_ТГК
ZGMM205_2D00_ZAKAZ_DEBL;Групп. роль_Окончательное согласование ЗнП_ТГК
ZGMM205_2D00_ZBD;Групп. роль_Подотчетное лицо_ЗнП_ТГК
ZGMM211_2D00_VW_ZAKAZ;Групп. роль_Отчет по закупочным заказам_ТГК
ZGMM306_2D00_MMMOL;Групп. роль_Кладовщик_ТГК
ZGMM306_2D00_TRANSORD_UB;Групп. роль_Специалист 1 ур. согл. заказов на перемещение между заводам_ТГК
ZGMM306_2D00_TRANSORD_UB_2;Групп. роль_Специалист по кон. согл. заказов на перемещение между заводам_ТГК
ZGMM306_2D00_UB_OPERATE;Групп. роль_Специалист по формирования заказа на перемещение между заводами_ТГК
ZGMM306_2D00_ZAPAS_VIEW;Групп. роль_Специалист по функциональному направлению_ТГК
ZGMM306_2D00_ZSPO;Групп. роль_Ответств. за форм. заказов на ввод в эксплуатацию СПО и ИХП_ТГК
ZGMM306_2D00_ZSPO_RE;Групп. роль_Ответст. за утверж. заказов на ввод в эксплуатацию СПО и ИХП_ТГК
ZGMM306_2D00_ZUB_OPERATE;Групп. роль_Сотрудник ОМТС_ТГК
ZGMM306_2D00_ZZUS;Групп. роль_Ответственный за формирование заказов на списание_ТГК
ZGMM306_2D00_ZZUS_FK;Групп. роль_Ответственный за утверждение заказов на списание от ФК_ТГК
ZGMM306_2D00_ZZUS_OR;Групп. роль_Ответственный за утверждение заказов на списание от ОР_ТГК
ZGMM308_2D00_FUEL_GR;Групп. роль_Специалист отд. топл. об. по формированию вх. поставок_ТГК
ZGMM308_2D00_FUEL_VIEW;Групп. роль_Просмотр документов УСМТР  по топливу_ТГК
ZGMM308_2D00_MOL_FUEL;Групп. роль_Специалист отдела топливо обеспечения по движению топлива_ТГК
ZGMM308_2D00_RESERVAT_OP;Групп. роль_Специалист отд. топл. обеспеч. по созданию докум. резервирования_ТГК
ZGMM308_2D00_RESERVAT_RE;Групп. роль_Специалист отд. топливо обеспеч. по утверждению докум. резерв._ТГК
ZGMM309_2D00_INV_OPERAT;Групп. роль_Ответственный за проведение инвентаризации_ТГК
ZGMM309_2D00_MMBU;Групп. роль_Бухгалтер по учету МТР_ТГК
ZGMM407_2D00_PM:PRVED;Групп. роль_Приемка ведомостей учёта работ/услуг ТОРО_ТГК
ZGMM407_2D00_PM:REVED;Групп. роль_Регистрация ведомостей учёта работ/услуг ТОРО_ТГК
ZGMM407_2D00_PS:PRVED;Групп. роль_Приемка ведомостей учёта работ/услуг по инвест. деятельности_ТГК
ZGMM407_2D00_PS:REVED;Групп. роль_Регистрация ведомостей учёта работ/услуг по инвест. деятельности_ТГК
ZGMM512_2D00_ACCOUNTER_CR;Гр. роль_Бухгалтер по закупке  э/э, мощ. и услуг по договорам ОРЭМ _Ведение_ТГК
ZGMM512_2D00_ACCOUNTER_VW;Гр. роль_Бухгалтер по закупке  э/э, мощ. и услуг по договорам ОРЭМ_Просмотр_ТГК
ZGMM610_2D00_OMMRV;Групп. роль_Бухгалтер по закрытию периода в MM_ТГК
ZGMM712_2D00_MANAGER_CR;Групп. роль_Менеджер по закуп. э/э, мощ. и услуг по договорам ОРЭМ_Ведение_ТГК
ZGMM712_2D00_MANAGER_VW;Гр. роль_Менеджер по закуп.  э/э, мощ. и услуг по договорам ОРЭМ_Просмотр_ТГК
ZGNS10X_2D00_ALL_MASTERDATA;Специалист НСИ ИУС П ГК
ZGNS10X_2D00_ALL_MASTERDATA;Групповая роль_Специалист НСИ ИУС П ГК
ZGNS10X_2D00_HCMDATACV;Ведение/просмотр основных данных персонала ТГК-1
ZGNS10X_2D00_HCMDATAVW;Просмотр основных данных персонала ТГК-1
ZGPM011_MCMNDR;Ответственный за ведение общих справочников ТГК-1
ZGPM012_MTCHOB;Ответственный за ведение тех. объектов
ZGPM013_MTSKLS;Ответственный за ведение техкарт и ППР
ZGPM014_DOBJCT;Ответственный за просм. объектов и док.
