Код транзакции;Текст;Направление
IMA11;Отдельная обработка;УИ
IMA2N;Изменение заявки на ИнвМероприятие;УИ
IMA3N;Просмотр заявки на ИнвМероприятие;УИ
IN01;Создать соединение объектов;ТОиР
IP12;Просмотр стратегий предупредит. ТОРО;ТОиР
IP16;Просмотр плана ПредупрТОРО;ТОиР
IP18;Просмотр позиции предупред. ТОРО;ТОиР
IP24;Обзор сроков пред.ТОРО/Формат списка;ТОиР
IP25;Установка метки удаления планов ТОРО;ТОиР
IP42;Добавление плана управл. стратегией;ТОиР
IQS2;ИзменениеСообщений - РасширенРакурс;ТОиР
IQS22;Обработка сообщения - простой ракурс;ТОиР
IQS23;Просмотр сообщения - простой ракурс;ТОиР
IQS3;Просмотр сообщений - РасширенРакурс;ТОиР
IR03;Просмотр РабМеста;ТОиР
IW21;Создание сообщения ТОРО - Общее;ТОиР
IW22;Изменение сообщения ТОРО;ТОиР
IW23;Просмотр сообщения ТОРО;ТОиР
IW26;Создать заявку на ТОРО;ТОиР
IW28;Изменение сообщений;ТОиР
IW29;Просмотр сообщений;ТОиР
IW31;Создание заказа;ТОиР
IW32;ИЗМЕНЕНИЕ ЗАКАЗА;ТОиР
IW33;Просмотреть заказ ТОРО;ТОиР
IW34;Заказ ТОРО для сообщения ТОРО;ТОиР
IW38;Изменение заказов ТОРО;ТОиР
IW39;Просмотр заказов ТОРО;ТОиР
IW41;Ввод подтверждения заказов ТОРО;ТОиР
IW43;Просмотр подтверждения заказов ТОРО;ТОиР
IW47;Список подтверждений;ТОиР
IW49N;Просмотр заказов и операций;ТОиР
IW62;Изменение заказа с историей;ТОиР
IW63;Просмотреть заказ ТОРО с историей;ТОиР
IW70;Заказы - ОбщКалендПланирСетевГрафик;ТОиР
J3RALFOS3;OС-3 Акт Прием/Сдачи ОтремРеконМодОС;БНУ
J3RALFOS6;OС-6 Инвент. карт. учета объекта ОС;БНУ
J3RALFTTAXCALC;Расчет транспортного налога;БНУ
J3RFDEPRBONUS;Расчет амортизационной премии;БНУ
J3RFKSLD;Баланс оборота кредитора;БНУ
J3RFLVMOBVED;Обзор запасов (Россия);УСМТР
J3RFSELB;Книга продаж (Россия);БНУ
J3RKKRD;Определение корресп. счетов;БНУ
J3RKKRL;Оборотная ведомость, ВВ (Россия);БНУ
KB11;Перенос первичных затрат - Ввод;УУ
KB11N;Ручн. перенос затрат - ввод;УУ
KB13N;Ручн. перенос затрат - просмотр;УУ
KB14N;Ручн. перенос затрат - сторно;УУ
KB15N;Ручн. перерасчет - ввод;УУ
KB31N;Ввод статистических показателей;УУ
KE21N;Ввод отдельных позиций CO-PA;УУ
KE53;Просмотр МВП;УУ
KEBC;Изменение ЕдУчетаРезульт;УУ
KJH2;Изменить группы СПП-элементов;УИ
KOK3;Групповой просмотр ВнутренЗаказов;УУ
KS03;Просмотр МВЗ;УУ
KSB1;МВЗ: Отдельные позиции - Факт;УУ
KSV5;Выполнен.Факт-распределения;УУ
LAST_SHORTDUMP;Просмотр последнего МгновеннДампа;Базис
MB02;Изменить документ материала;УСМТР
MB03;Просмотреть документ материала;УСМТР
MB21;Создание резервирования;УСМТР
MB51;Список документов материала;УСМТР
MB52;Ведомость складских запасов;УСМТР
MB5B;Запасы на дату проводки;УСМТР
MB5TD;Запас в пути на контрольную дату;УСМТР
MB90;ОбрабВыходнДокум для ДокумМтрл;УСМТР
MBBS;Просмотр оцененного особого запаса;УСМТР
MC.1;КЗ: выбор анализа завода: запасы;УСМТР
MD04;Просмотр состояния запасов/потребн.;УСМТР
ME11;Создание инфо-записи;УСМТР
ME13;Просмотр инфо-записи;УСМТР
ME21N;Создание заказа на поставку;УСМТР
ME22N;Изменение заказа на поставку;УСМТР
ME23;Просмотр заказа на поставку;УСМТР
ME23N;Просмотреть заказ на поставку;УСМТР
ME24;Ведение дополнения к заказу;УСМТР
ME28;Деблокировать заказ на поставку;УСМТР
ME29N;Деблокировать заказ на поставку;УСМТР
ME2L;Заказы - Поставщик;УСМТР
ME2M;Заказы - Материал;УСМТР
ME2N;Заказы - Номер заказа;УСМТР
ME2S;Услуги к заказу на поставку;УСМТР
ME2W;Заказы - Завод-поставщик;УСМТР
ME31K;Создание контракта;УСМТР
ME32K;Изменение контракта;УСМТР
ME33K;Просмотр контракта;УСМТР
ME41;Создание запроса;УСМТР
ME42;Изменение запроса;УСМТР
ME43;Просмотр запроса;УСМТР
ME47;Ввод предложения;УСМТР
ME48;Просмотр предложения;УСМТР
ME51;Создание заявки;УСМТР
ME51N;Создание заявки;УСМТР
ME52N;Изменение заявки;УСМТР
ME53N;Просмотр заявки;УСМТР
ME55;Групповое деблокирование заявок;УСМТР
ME57;Присвоение и обработка заявки;УСМТР
ME5A;Просмотр списка заявок;УСМТР
ME5F;Предупреждение о деблокир. заявки;УСМТР
ME5J;Заявки к проекту;УСМТР
ME5K;Заявки к контировке;УСМТР
ME80FN;Общие аналитические отчеты (F);УСМТР
ME9F;Вывод ВыходнДок: заказы на поставку;УСМТР
MEK1;Создание условий (закупки);УСМТР
MEK3;Просмотр условий (закупки);УСМТР
MEMASSPO;Массовое изменение ЗкзНаПоставку;УСМТР
MI03;Просмотреть документ инвентаризации;УСМТР
MI22;Просмотр ДокумИнвент к материалу;УСМТР
MI23;Просмотр ДаннИнвент к материалу;УСМТР
MIGO;Движение материала;УСМТР
MIR4;Вызов MIRO - статус изменения;УСМТР
MIR5;Просмотреть список документов счета;УСМТР
MIR7;Предвар. регистрация входящего счета;УСМТР
MIRO;Ввод входящего счета;УСМТР
ML53;Создать условия;УСМТР
ML81N;Учет работ/услуг;УСМТР
ML84;Список ведомостей учета работ/услуг;УСМТР
MM03;Просмотр материала &;УСМТР
MM06;Пометка материала для удаления;УСМТР
MM60;Каталог материалов;УСМТР
MMBE;Обзор запасов;УСМТР
MR51;Материал: отдельные позиции;УСМТР
MSC3N;Просмотр партии;УСМТР
OADR;SAP ArchiveLink: ПоискСписковДляПеч;Базис
OAOR;Cервис бизнес-документов: документы;Базис
OAWD;SAP ArchiveLink: архивация докум.;Базис
OPS7;Ведение данных инициатора;Базис
OSS1;#Н/Д;Базис
PA20;Просмотр основных данных персонала;НСИ
PA30;Ведение основных данных персонала;НСИ
PA40;Мероприятия/персонал;НСИ
PP01;Ведение ПланДанных (УправлПоМеню);НСИ
PP25;Просмотреть группу планирования;НСИ
PP27;Деблокирование версии планирования;НСИ
PPOME;Изменить организацию и замещение;НСИ
RRMX;Запуск Business Explorer Analyzer;БД
RSA1;Моделирование - ИнстрСредства DW;БД
RSPFPAR;Просмотр параметра профиля;Базис
RSRT;Запуск монитора отчетов;Базис
RSSCD100_PFCG_USER;Для присвоения ролей;Базис
RZ10;Ведение параметров профиля;Базис
RZ11;Ведение профильных параметров;Базис
S_ALR_87010175;Проведенная амортизация по МВЗ;БНУ
S_ALR_87011963;Запас основных средств;БНУ
S_ALR_87011964;Запас основных средств;БНУ
S_ALR_87011967;Запас основных средств;БНУ
