ПФМ;Название;4;5
D42024;КапСтрой(НивскиеГЭС);;
D42025;Тех(НивскиеГЭС);;
D430;Каскад Пазских ГЭС;;
D43001;Апп. ГД(ПазскиеГЭС);;
D43002;ПравВопр(ПазскиеГЭС);;
D43003;СвязОбщ.(ПазскиеГЭС);;
D43004;АдмСерв(ПазскиеГЭС);;
D43005;ГО и ЧС(ПазскиеГЭС);;
D43006;Ремонт.(ПазскиеГЭС);;
D43007;Эксплуат.(ПазскиеГЭС;;
D43008;Произв.(ПазскиеГЭС);;
D43009;Метролог(ПазскиеГЭС);;
D43010;СбытТЭ(ПазскиеГЭС);;
D43011;СбытЭЭ(ПазскиеГЭС);;
D43012;КорпЗащит(ПазскиеГЭС;;
D43013;ОплТруда(ПазскиеГЭС);;
D43014;ПодгКадр(ПазскиеГЭС);;
D43015;Соц-труд(ПазскиеГЭС);;
D43016;Ресурсооб(ПазскиеГЭС;;
D43017;СкладЛог(ПазскиеГЭС);;
D43018;Транспорт(ПазскиеГЭС;;
D43019;Эконом. (ПазскиеГЭС);;
D43020;УпрИмущ(ПазскиеГЭС);;
D43021;Финансы(ПазскиеГЭС);;
D43022;Бухгалт.(ПазскиеГЭС);;
D43023;Развитие(ПазскиеГЭС);;
D43024;КапСтрой(ПазскиеГЭС);;
D43025;Тех(ПазскиеГЭС);;
D440;Каскад ТуломскСерГЭС;;
D44001;Апп. ГД(Туломск.ГЭС);;
D44002;ПравВопр(Туломск.ГЭС;;
D44003;СвязОбщ.(Туломск.ГЭС;;
D44004;АдмСерв(Туломск.ГЭС);;
D44005;ГО и ЧС(Туломск.ГЭС);;
D44006;Ремонт.(Туломск.ГЭС);;
D44007;Эксплуат.(Туломск.ГЭ;;
D44008;Произв.(Туломск.ГЭС);;
D44009;Метролог(Туломск.ГЭС;;
D44010;СбытТЭ(Туломск.ГЭС);;
D44011;СбытЭЭ(Туломск.ГЭС);;
D44012;КорпЗащит(Туломск.ГЭ;;
D44013;ОплТруда(Туломск.ГЭС;;
D44014;ПодгКадр(Туломск.ГЭС;;
D44015;Соц-труд(Туломск.ГЭС;;
D44016;Ресурсооб(Туломск.ГЭ;;
D44017;СкладЛог(Туломск.ГЭС;;
D44018;Транспорт(Туломск.ГЭ;;
D44019;Эконом. (Туломск.ГЭС;;
D44020;УпрИмущ(Туломск.ГЭС);;
D44021;Финансы(Туломск.ГЭС);;
D44022;Бухгалт.(Туломск.ГЭС;;
D44023;Развитие(Туломск.ГЭС;;
D44024;КапСтрой(Туломск.ГЭС;;
D44025;Тех(Туломск.ГЭС);;
D461;Апатитская ТЭЦ;;
D46101;Апп. ГД(Апатит.ТЭЦ);;
D46102;ПравВопр(Апатит.ТЭЦ);;
D46103;СвязОбщ.(Апатит.ТЭЦ);;
D46104;АдмСерв(Апатит.ТЭЦ);;
D46105;ГО и ЧС(Апатит.ТЭЦ);;
D46106;Ремонт.(Апатит.ТЭЦ);;
D46107;Эксплуат.(Апатит.ТЭЦ;;
D46108;Произв.(Апатит.ТЭЦ);;
D46109;Метролог(Апатит.ТЭЦ);;
D46110;СбытТЭ(Апатит.ТЭЦ);;
D46111;СбытЭЭ(Апатит.ТЭЦ);;
D46112;КорпЗащит(Апатит.ТЭЦ;;
D46113;ОплТруда(Апатит.ТЭЦ);;
D46114;ПодгКадр(Апатит.ТЭЦ);;
D46115;Соц-труд(Апатит.ТЭЦ);;
D46116;Ресурсооб(Апатит.ТЭЦ;;
D46117;СкладЛог(Апатит.ТЭЦ);;
D46118;Транспорт(Апатит.ТЭЦ;;
D46119;Эконом. (Апатит.ТЭЦ);;
D46120;УпрИмущ(Апатит.ТЭЦ);;
D46121;Финансы(Апатит.ТЭЦ);;
D46122;Бухгалт.(Апатит.ТЭЦ);;
D46123;Развитие(Апатит.ТЭЦ);;
D46124;КапСтрой(Апатит.ТЭЦ);;
D46125;Тех(Апатитская ТЭЦ);;
T001;Техническое ПФМ;;
T002;Техническое ПФМ - 2;;
