ПФМ;Название;4;5
D20812;КорпЗащит(ТЭЦ 8);;
D20813;ОплТруда(ТЭЦ 8);;
D20814;ПодгКадр(ТЭЦ 8);;
D20815;Соц-труд(ТЭЦ 8);;
D20816;Ресурсооб(ТЭЦ 8);;
D20817;СкладЛог(ТЭЦ 8);;
D20818;Транспорт(ТЭЦ 8);;
D20819;Эконом. (ТЭЦ 8);;
D20820;УпрИмущ(ТЭЦ 8);;
D20821;Финансы(ТЭЦ 8);;
D20822;Бухгалт.(ТЭЦ 8);;
D20823;Развитие(ТЭЦ 8);;
D20824;КапСтрой(ТЭЦ 8);;
D20825;Тех(ТЭЦ 8);;
D213;ГЭС 13 Нарвская;;
D21301;Апп. ГД(ГЭС 13);;
D21302;ПравВопр(ГЭС 13);;
D21303;СвязОбщ.(ГЭС 13);;
D21304;АдмСерв(ГЭС 13);;
D21305;ГО и ЧС(ГЭС 13);;
D21306;Ремонт.(ГЭС 13);;
D21307;Эксплуат.(ГЭС 13);;
D21308;Произв.(ГЭС 13);;
D21309;Метролог(ГЭС 13);;
D21310;СбытТЭ(ГЭС 13);;
D21311;СбытЭЭ(ГЭС 13);;
D21312;КорпЗащит(ГЭС 13);;
D21313;ОплТруда(ГЭС 13);;
D21314;ПодгКадр(ГЭС 13);;
D21315;Соц-труд(ГЭС 13);;
D21316;Ресурсооб(ГЭС 13);;
D21317;СкладЛог(ГЭС 13);;
D21318;Транспорт(ГЭС 13);;
D21319;Эконом. (ГЭС 13);;
D21320;УпрИмущ(ГЭС 13);;
D21321;Финансы(ГЭС 13);;
D21322;Бухгалт.(ГЭС 13);;
D21323;Развитие(ГЭС 13);;
D21324;КапСтрой(ГЭС 13);;
D21325;Технический (ГЭС 13;;
D214;ТЭЦ 14 Первомайская;;
D21401;Апп. ГД(ТЭЦ 14);;
D21402;ПравВопр(ТЭЦ 14);;
D21403;СвязОбщ.(ТЭЦ 14);;
D21404;АдмСерв(ТЭЦ 14);;
D21405;ГО и ЧС(ТЭЦ 14);;
D21406;Ремонт.(ТЭЦ 14);;
D21407;Эксплуат.(ТЭЦ 14);;
D21408;Произв.(ТЭЦ 14);;
D21409;Метролог(ТЭЦ 14);;
D21410;СбытТЭ(ТЭЦ 14);;
D21411;СбытЭЭ(ТЭЦ 14);;
D21412;КорпЗащит(ТЭЦ 14);;
D21413;ОплТруда(ТЭЦ 14);;
D21414;ПодгКадр(ТЭЦ 14);;
D21415;Соц-труд(ТЭЦ 14);;
D21416;Ресурсооб(ТЭЦ 14);;
D21417;СкладЛог(ТЭЦ 14);;
D21418;Транспорт(ТЭЦ 14);;
D21419;Эконом. (ТЭЦ 14);;
D21420;УпрИмущ(ТЭЦ 14);;
D21421;Финансы(ТЭЦ 14);;
D21422;Бухгалт.(ТЭЦ 14);;
D21423;Развитие(ТЭЦ 14);;
D21424;КапСтрой(ТЭЦ 14);;
D21425;Тех(ТЭЦ 14);;
D215;ТЭЦ 15 Автовская;;
D21501;Апп. ГД(ТЭЦ 15 );;
D21502;ПравВопр(ТЭЦ 15 );;
D21503;СвязОбщ.(ТЭЦ 15 );;
D21504;АдмСерв(ТЭЦ 15 );;
D21505;ГО и ЧС(ТЭЦ 15 );;
D21506;Ремонт.(ТЭЦ 15 );;
D21507;Эксплуат.(ТЭЦ 15 );;
D21508;Произв.(ТЭЦ 15 );;
D21509;Метролог(ТЭЦ 15 );;
D21510;СбытТЭ(ТЭЦ 15 );;
D21511;СбытЭЭ(ТЭЦ 15 );;
D21512;КорпЗащит(ТЭЦ 15 );;
D21513;ОплТруда(ТЭЦ 15 );;
D21514;ПодгКадр(ТЭЦ 15 );;
D21515;Соц-труд(ТЭЦ 15 );;
D21516;Ресурсооб(ТЭЦ 15 );;
D21517;СкладЛог(ТЭЦ 15 );;
D21518;Транспорт(ТЭЦ 15 );;
D21519;Эконом. (ТЭЦ 15 );;
D21520;УпрИмущ(ТЭЦ 15 );;
D21521;Финансы(ТЭЦ 15 );;
D21522;Бухгалт.(ТЭЦ 15 );;
D21523;Развитие(ТЭЦ 15 );;
D21524;КапСтрой(ТЭЦ 15 );;
D21525;Тех(ТЭЦ 15 );;
D217;ТЭЦ 17 Выборгская;;
D21701;Апп. ГД(ТЭЦ 17);;
D21702;ПравВопр(ТЭЦ 17);;
D21703;СвязОбщ.(ТЭЦ 17);;
D21704;АдмСерв(ТЭЦ 17);;
D21705;ГО и ЧС(ТЭЦ 17);;
D21706;Ремонт.(ТЭЦ 17);;
D21707;Эксплуат.(ТЭЦ 17);;
D21708;Произв.(ТЭЦ 17);;
D21709;Метролог(ТЭЦ 17);;
