Наименование;Код роли
Менеджер ПИР (Орг. уровень D380) ТГК-1 ;ZUCM03X_PCR_AL_D380 
Менеджер ПИР (Орг. уровень D400) ТГК-1 ;ZUCM03X_PCR_AL_D400 
Менеджер ПИР (Орг. уровень D420) ТГК-1 ;ZUCM03X_PCR_AL_D420 
Менеджер ПИР (Орг. уровень D430) ТГК-1 ;ZUCM03X_PCR_AL_D430 
Менеджер ПИР (Орг. уровень D440) ТГК-1 ;ZUCM03X_PCR_AL_D440 
Менеджер ПИР (Орг. уровень D461) ТГК-1 ;ZUCM03X_PCR_AL_D461 
Менеджер ПИР (Орг. уровень все МВП) ТГК-1 ;ZUCM03X_PCR_AL_DXXX 
Менеджер по ПИР;ZGCM03X_2D00_PIR_MGR 
Менеджер по розничной реализации Ведение ;ZGSD03X_MANAGER_CR
Менеджер по розничной реализации Просмотр ;ZGSD03X_MANAGER_VW
Менеджер по учету реализации э/э, мощности и услуг по договорам ОРЭМ Ведение ;ZGSD02X_MANAGER_CR
Менеджер по учету реализации э/э, мощности и услуг по договорам ОРЭМ Просмотр ;ZGSD02X_MANAGER_VW
Орг. роль Завод D100 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D100 
Орг. роль Завод D100 Ввод плановых цен ;ZUMMX02_WKS_D100 
Орг. роль Завод D100 Движение материала ;ZUMMX06_WKS_D100 
Орг. роль Завод D100 Закупочные процедуры ;ZUMMX04_WKS_D100 
Орг. роль Завод D100 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D100 
Орг. роль Завод D100 Отчеты зявки и заказы ;ZUMMX11_WKS_D100 
Орг. роль Завод D100 Согласование заявок ;ZUMMX03_WKS_D100 
Орг. роль Завод D100 Создание заявок ;ZUMMX01_WKS_D100 
Орг. роль Завод D100 Специалист функциональных направлений ;ZUMMX07_WKS_D100 
Орг. роль Завод D100 Топливообеспечение ;ZUMMX08_WKS_D100 
Орг. роль Завод D200 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D200 
Орг. роль Завод D200 Ввод плановых цен ;ZUMMX02_WKS_D200 
Орг. роль Завод D200 Движение материала ;ZUMMX06_WKS_D200 
Орг. роль Завод D200 Закупочные процедуры ;ZUMMX04_WKS_D200 
Орг. роль Завод D200 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D200 
Орг. роль Завод D200 Отчеты зявки и заказы ;ZUMMX11_WKS_D200 
Орг. роль Завод D200 Согласование заявок ;ZUMMX03_WKS_D200 
Орг. роль Завод D200 Создание заявок ;ZUMMX01_WKS_D200 
Орг. роль Завод D200 Специалист функциональных направлений ;ZUMMX07_WKS_D200 
Орг. роль Завод D200 Топливообеспечение ;ZUMMX08_WKS_D200 
Орг. роль Завод D202 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D202 
Орг. роль Завод D202 Ввод плановых цен ;ZUMMX02_WKS_D202 
Орг. роль Завод D202 Движение материала ;ZUMMX06_WKS_D202 
Орг. роль Завод D202 Закупочные процедуры ;ZUMMX04_WKS_D202 
Орг. роль Завод D202 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D202 
Орг. роль Завод D202 Отчеты зявки и заказы ;ZUMMX11_WKS_D202 
Орг. роль Завод D202 Согласование заявок ;ZUMMX03_WKS_D202 
Орг. роль Завод D202 Создание заявок ;ZUMMX01_WKS_D202 
Орг. роль Завод D202 Специалист функциональных направлений ;ZUMMX07_WKS_D202 
Орг. роль Завод D202 Топливообеспечение ;ZUMMX08_WKS_D202 
Орг. роль Завод D205 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D205 
Орг. роль Завод D205 Ввод плановых цен ;ZUMMX02_WKS_D205 
Орг. роль Завод D205 Движение материала ;ZUMMX06_WKS_D205 
Орг. роль Завод D205 Закупочные процедуры ;ZUMMX04_WKS_D205 
Орг. роль Завод D205 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D205 
Орг. роль Завод D205 Отчеты зявки и заказы ;ZUMMX11_WKS_D205 
Орг. роль Завод D205 Согласование заявок ;ZUMMX03_WKS_D205 
Орг. роль Завод D205 Создание заявок ;ZUMMX01_WKS_D205 
Орг. роль Завод D205 Специалист функциональных направлений ;ZUMMX07_WKS_D205 
Орг. роль Завод D205 Топливообеспечение ;ZUMMX08_WKS_D205 
Орг. роль Завод D207 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D207 
Орг. роль Завод D207 Ввод плановых цен ;ZUMMX02_WKS_D207 
Орг. роль Завод D207 Движение материала ;ZUMMX06_WKS_D207 
Орг. роль Завод D207 Закупочные процедуры ;ZUMMX04_WKS_D207 
Орг. роль Завод D207 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D207 
Орг. роль Завод D207 Отчеты зявки и заказы ;ZUMMX11_WKS_D207 
Орг. роль Завод D207 Согласование заявок ;ZUMMX03_WKS_D207 
Орг. роль Завод D207 Создание заявок ;ZUMMX01_WKS_D207 
Орг. роль Завод D207 Специалист функциональных направлений ;ZUMMX07_WKS_D207 
Орг. роль Завод D207 Топливообеспечение ;ZUMMX08_WKS_D207 
Орг. роль Завод D208 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D208 
Орг. роль Завод D208 Ввод плановых цен ;ZUMMX02_WKS_D208 
Орг. роль Завод D208 Движение материала ;ZUMMX06_WKS_D208 
Орг. роль Завод D208 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D208 
Орг. роль Завод D208 Отчеты зявки и заказы ;ZUMMX11_WKS_D208 
Орг. роль Завод D208 Согласование заявок ;ZUMMX03_WKS_D208 
Орг. роль Завод D208 Создание заявок ;ZUMMX01_WKS_D208 
Орг. роль Завод D208 Топливообеспечение ;ZUMMX08_WKS_D208 
Орг. роль Завод D213 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D213 
Орг. роль Завод D213 Ввод плановых цен ;ZUMMX02_WKS_D213 
Орг. роль Завод D213 Движение материала ;ZUMMX06_WKS_D213 
Орг. роль Завод D213 Закупочные процедуры ;ZUMMX04_WKS_D213 
Орг. роль Завод D213 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D213 
Орг. роль Завод D213 Отчеты зявки и заказы ;ZUMMX11_WKS_D213 
Орг. роль Завод D213 Согласование заявок ;ZUMMX03_WKS_D213 
Орг. роль Завод D213 Создание заявок ;ZUMMX01_WKS_D213 
Орг. роль Завод D213 Специалист функциональных направлений ;ZUMMX07_WKS_D213 
Орг. роль Завод D213 Топливообеспечение ;ZUMMX08_WKS_D213 
Орг. роль Завод D214 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D214 
Орг. роль Завод D214 Ввод плановых цен ;ZUMMX02_WKS_D214 
Орг. роль Завод D214 Движение материала ;ZUMMX06_WKS_D214 
Орг. роль Завод D214 Закупочные процедуры ;ZUMMX04_WKS_D214 
Орг. роль Завод D214 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D214 
Орг. роль Завод D214 Отчеты зявки и заказы ;ZUMMX11_WKS_D214 
Орг. роль Завод D214 Согласование заявок ;ZUMMX03_WKS_D214 
Орг. роль Завод D214 Создание заявок ;ZUMMX01_WKS_D214 
Орг. роль Завод D214 Специалист функциональных направлений ;ZUMMX07_WKS_D214 
Орг. роль Завод D214 Топливообеспечение ;ZUMMX08_WKS_D214 
Орг. роль Завод D215 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D215 
Орг. роль Завод D215 Ввод плановых цен ;ZUMMX02_WKS_D215 
Орг. роль Завод D215 Движение материала ;ZUMMX06_WKS_D215 
Орг. роль Завод D215 Закупочные процедуры ;ZUMMX04_WKS_D215 
Орг. роль Завод D215 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D215 
Орг. роль Завод D215 Отчеты зявки и заказы ;ZUMMX11_WKS_D215 
Орг. роль Завод D215 Согласование заявок ;ZUMMX03_WKS_D215 
Орг. роль Завод D215 Создание заявок ;ZUMMX01_WKS_D215 
Орг. роль Завод D215 Специалист функциональных направлений ;ZUMMX07_WKS_D215 
Орг. роль Завод D215 Топливообеспечение ;ZUMMX08_WKS_D215 
Орг. роль Завод D217 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D217 
Орг. роль Завод D217 Ввод плановых цен ;ZUMMX02_WKS_D217 
Орг. роль Завод D217 Движение материала ;ZUMMX06_WKS_D217 
Орг. роль Завод D217 Закупочные процедуры ;ZUMMX04_WKS_D217 
Орг. роль Завод D217 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D217 
Орг. роль Завод D217 Отчеты зявки и заказы ;ZUMMX11_WKS_D217 
Орг. роль Завод D217 Согласование заявок ;ZUMMX03_WKS_D217 
Орг. роль Завод D217 Создание заявок ;ZUMMX01_WKS_D217 
Орг. роль Завод D217 Специалист функциональных направлений ;ZUMMX07_WKS_D217 
Орг. роль Завод D217 Топливообеспечение ;ZUMMX08_WKS_D217 
Орг. роль Завод D220 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D220 
Орг. роль Завод D220 Ввод плановых цен ;ZUMMX02_WKS_D220 
Орг. роль Завод D220 Движение материала ;ZUMMX06_WKS_D220 
Орг. роль Завод D220 Закупочные процедуры ;ZUMMX04_WKS_D220 
Орг. роль Завод D220 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D220 
Орг. роль Завод D220 Отчеты зявки и заказы ;ZUMMX11_WKS_D220 
Орг. роль Завод D220 Согласование заявок ;ZUMMX03_WKS_D220 
Орг. роль Завод D220 Создание заявок ;ZUMMX01_WKS_D220 
Орг. роль Завод D220 Специалист функциональных направлений ;ZUMMX07_WKS_D220 
Орг. роль Завод D220 Топливообеспечение ;ZUMMX08_WKS_D220 
Орг. роль Завод D221 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D221 
Орг. роль Завод D221 Ввод плановых цен ;ZUMMX02_WKS_D221 
Орг. роль Завод D221 Движение материала ;ZUMMX06_WKS_D221 
Орг. роль Завод D221 Закупочные процедуры ;ZUMMX04_WKS_D221 
Орг. роль Завод D221 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D221 
Орг. роль Завод D221 Отчеты зявки и заказы ;ZUMMX11_WKS_D221 
Орг. роль Завод D221 Согласование заявок ;ZUMMX03_WKS_D221 
Орг. роль Завод D221 Создание заявок ;ZUMMX01_WKS_D221 
Орг. роль Завод D221 Специалист функциональных направлений ;ZUMMX07_WKS_D221 
Орг. роль Завод D221 Топливообеспечение ;ZUMMX08_WKS_D221 
Орг. роль Завод D222 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D222 
Орг. роль Завод D222 Ввод плановых цен ;ZUMMX02_WKS_D222 
Орг. роль Завод D222 Движение материала ;ZUMMX06_WKS_D222 
Орг. роль Завод D222 Закупочные процедуры ;ZUMMX04_WKS_D222 
Орг. роль Завод D222 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D222 
Орг. роль Завод D222 Отчеты зявки и заказы ;ZUMMX11_WKS_D222 
Орг. роль Завод D222 Согласование заявок ;ZUMMX03_WKS_D222 
Орг. роль Завод D222 Создание заявок ;ZUMMX01_WKS_D222 
Орг. роль Завод D222 Специалист функциональных направлений ;ZUMMX07_WKS_D222 
Орг. роль Завод D222 Топливообеспечение ;ZUMMX08_WKS_D222 
Орг. роль Завод D230 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D230 
Орг. роль Завод D230 Ввод плановых цен ;ZUMMX02_WKS_D230 
Орг. роль Завод D230 Движение материала ;ZUMMX06_WKS_D230 
Орг. роль Завод D230 Закупочные процедуры ;ZUMMX04_WKS_D230 
Орг. роль Завод D230 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D230 
Орг. роль Завод D230 Отчеты зявки и заказы ;ZUMMX11_WKS_D230 
Орг. роль Завод D230 Согласование заявок ;ZUMMX03_WKS_D230 
Орг. роль Завод D230 Создание заявок ;ZUMMX01_WKS_D230 
Орг. роль Завод D230 Специалист функциональных направлений ;ZUMMX07_WKS_D230 
Орг. роль Завод D230 Топливообеспечение ;ZUMMX08_WKS_D230 
Орг. роль Завод D291 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D291 
Орг. роль Завод D291 Ввод плановых цен ;ZUMMX02_WKS_D291 
Орг. роль Завод D291 Движение материала ;ZUMMX06_WKS_D291 
Орг. роль Завод D291 Закупочные процедуры ;ZUMMX04_WKS_D291 
Орг. роль Завод D291 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D291 
Орг. роль Завод D291 Отчеты зявки и заказы ;ZUMMX11_WKS_D291 
Орг. роль Завод D291 Согласование заявок ;ZUMMX03_WKS_D291 
Орг. роль Завод D291 Создание заявок ;ZUMMX01_WKS_D291 
Орг. роль Завод D291 Специалист функциональных направлений ;ZUMMX07_WKS_D291 
Орг. роль Завод D291 Топливообеспечение ;ZUMMX08_WKS_D291 
Орг. роль Завод D300 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D300 
Орг. роль Завод D300 Ввод плановых цен ;ZUMMX02_WKS_D300 
Орг. роль Завод D300 Движение материала ;ZUMMX06_WKS_D300 
Орг. роль Завод D300 Закупочные процедуры ;ZUMMX04_WKS_D300 
Орг. роль Завод D300 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D300 
Орг. роль Завод D300 Отчеты зявки и заказы ;ZUMMX11_WKS_D300 
Орг. роль Завод D300 Согласование заявок ;ZUMMX03_WKS_D300 
Орг. роль Завод D300 Создание заявок ;ZUMMX01_WKS_D300 
Орг. роль Завод D300 Специалист функциональных направлений ;ZUMMX07_WKS_D300 
Орг. роль Завод D300 Топливообеспечение ;ZUMMX08_WKS_D300 
Орг. роль Завод D330 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D330 
Орг. роль Завод D330 Ввод плановых цен ;ZUMMX02_WKS_D330 
Орг. роль Завод D330 Движение материала ;ZUMMX06_WKS_D330 
Орг. роль Завод D330 Закупочные процедуры ;ZUMMX04_WKS_D330 
Орг. роль Завод D330 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D330 
Орг. роль Завод D330 Отчеты зявки и заказы ;ZUMMX11_WKS_D330 
Орг. роль Завод D330 Согласование заявок ;ZUMMX03_WKS_D330 
Орг. роль Завод D330 Создание заявок ;ZUMMX01_WKS_D330 
Орг. роль Завод D330 Специалист функциональных направлений ;ZUMMX07_WKS_D330 
Орг. роль Завод D330 Топливообеспечение ;ZUMMX08_WKS_D330 
Орг. роль Завод D340 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D340 
Орг. роль Завод D340 Ввод плановых цен ;ZUMMX02_WKS_D340 
Орг. роль Завод D340 Движение материала ;ZUMMX06_WKS_D340 
Орг. роль Завод D340 Закупочные процедуры ;ZUMMX04_WKS_D340 
Орг. роль Завод D340 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D340 
Орг. роль Завод D340 Отчеты зявки и заказы ;ZUMMX11_WKS_D340 
Орг. роль Завод D340 Согласование заявок ;ZUMMX03_WKS_D340 
Орг. роль Завод D340 Создание заявок ;ZUMMX01_WKS_D340 
Орг. роль Завод D340 Специалист функциональных направлений ;ZUMMX07_WKS_D340 
Орг. роль Завод D340 Топливообеспечение ;ZUMMX08_WKS_D340 
Орг. роль Завод D350 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D350 
Орг. роль Завод D350 Ввод плановых цен ;ZUMMX02_WKS_D350 
Орг. роль Завод D350 Движение материала ;ZUMMX06_WKS_D350 
Орг. роль Завод D350 Закупочные процедуры ;ZUMMX04_WKS_D350 
Орг. роль Завод D350 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D350 
Орг. роль Завод D350 Отчеты зявки и заказы ;ZUMMX11_WKS_D350 
Орг. роль Завод D350 Согласование заявок ;ZUMMX03_WKS_D350 
Орг. роль Завод D350 Создание заявок ;ZUMMX01_WKS_D350 
Орг. роль Завод D350 Специалист функциональных направлений ;ZUMMX07_WKS_D350 
Орг. роль Завод D350 Топливообеспечение ;ZUMMX08_WKS_D350 
Орг. роль Завод D361 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D361 
Орг. роль Завод D361 Ввод плановых цен ;ZUMMX02_WKS_D361 
Орг. роль Завод D361 Движение материала ;ZUMMX06_WKS_D361 
Орг. роль Завод D361 Закупочные процедуры ;ZUMMX04_WKS_D361 
Орг. роль Завод D361 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D361 
Орг. роль Завод D361 Отчеты зявки и заказы ;ZUMMX11_WKS_D361 
Орг. роль Завод D361 Согласование заявок ;ZUMMX03_WKS_D361 
Орг. роль Завод D361 Создание заявок ;ZUMMX01_WKS_D361 
Орг. роль Завод D361 Специалист функциональных направлений ;ZUMMX07_WKS_D361 
Орг. роль Завод D361 Топливообеспечение ;ZUMMX08_WKS_D361 
Орг. роль Завод D370 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D370 
Орг. роль Завод D370 Ввод плановых цен ;ZUMMX02_WKS_D370 
Орг. роль Завод D370 Движение материала ;ZUMMX06_WKS_D370 
Орг. роль Завод D370 Закупочные процедуры ;ZUMMX04_WKS_D370 
Орг. роль Завод D370 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D370 
Орг. роль Завод D370 Отчеты зявки и заказы ;ZUMMX11_WKS_D370 
Орг. роль Завод D370 Согласование заявок ;ZUMMX03_WKS_D370 
Орг. роль Завод D370 Создание заявок ;ZUMMX01_WKS_D370 
Орг. роль Завод D370 Специалист функциональных направлений ;ZUMMX07_WKS_D370 
Орг. роль Завод D370 Топливообеспечение ;ZUMMX08_WKS_D370 
Орг. роль Завод D380 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D380 
Орг. роль Завод D380 Ввод плановых цен ;ZUMMX02_WKS_D380 
Орг. роль Завод D380 Движение материала ;ZUMMX06_WKS_D380 
Орг. роль Завод D380 Закупочные процедуры ;ZUMMX04_WKS_D380 
Орг. роль Завод D380 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D380 
Орг. роль Завод D380 Отчеты зявки и заказы ;ZUMMX11_WKS_D380 
Орг. роль Завод D380 Согласование заявок ;ZUMMX03_WKS_D380 
Орг. роль Завод D380 Создание заявок ;ZUMMX01_WKS_D380 
Орг. роль Завод D380 Специалист функциональных направлений ;ZUMMX07_WKS_D380 
Орг. роль Завод D380 Топливообеспечение ;ZUMMX08_WKS_D380 
Орг. роль Завод D400 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D400 
Орг. роль Завод D400 Ввод плановых цен ;ZUMMX02_WKS_D400 
Орг. роль Завод D400 Движение материала ;ZUMMX06_WKS_D400 
Орг. роль Завод D400 Закупочные процедуры ;ZUMMX04_WKS_D400 
Орг. роль Завод D400 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D400 
Орг. роль Завод D400 Отчеты зявки и заказы ;ZUMMX11_WKS_D400 
Орг. роль Завод D400 Согласование заявок ;ZUMMX03_WKS_D400 
Орг. роль Завод D400 Создание заявок ;ZUMMX01_WKS_D400 
Орг. роль Завод D400 Специалист функциональных направлений ;ZUMMX07_WKS_D400 
Орг. роль Завод D400 Топливообеспечение ;ZUMMX08_WKS_D400 
Орг. роль Завод D420 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D420 
Орг. роль Завод D420 Ввод плановых цен ;ZUMMX02_WKS_D420 
Орг. роль Завод D420 Движение материала ;ZUMMX06_WKS_D420 
Орг. роль Завод D420 Закупочные процедуры ;ZUMMX04_WKS_D420 
Орг. роль Завод D420 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D420 
Орг. роль Завод D420 Отчеты зявки и заказы ;ZUMMX11_WKS_D420 
Орг. роль Завод D420 Согласование заявок ;ZUMMX03_WKS_D420 
Орг. роль Завод D420 Создание заявок ;ZUMMX01_WKS_D420 
Орг. роль Завод D420 Специалист функциональных направлений ;ZUMMX07_WKS_D420 
Орг. роль Завод D420 Топливообеспечение ;ZUMMX08_WKS_D420 
Орг. роль Завод D430 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D430 
Орг. роль Завод D430 Ввод плановых цен ;ZUMMX02_WKS_D430 
Орг. роль Завод D430 Движение материала ;ZUMMX06_WKS_D430 
Орг. роль Завод D430 Закупочные процедуры ;ZUMMX04_WKS_D430 
Орг. роль Завод D430 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D430 
Орг. роль Завод D430 Отчеты зявки и заказы ;ZUMMX11_WKS_D430 
Орг. роль Завод D430 Согласование заявок ;ZUMMX03_WKS_D430 
Орг. роль Завод D430 Создание заявок ;ZUMMX01_WKS_D430 
Орг. роль Завод D430 Специалист функциональных направлений ;ZUMMX07_WKS_D430 
Орг. роль Завод D430 Топливообеспечение ;ZUMMX08_WKS_D430 
Орг. роль Завод D440 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D440 
Орг. роль Завод D440 Ввод плановых цен ;ZUMMX02_WKS_D440 
Орг. роль Завод D440 Движение материала ;ZUMMX06_WKS_D440 
Орг. роль Завод D440 Закупочные процедуры ;ZUMMX04_WKS_D440 
Орг. роль Завод D440 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D440 
Орг. роль Завод D440 Отчеты зявки и заказы ;ZUMMX11_WKS_D440 
Орг. роль Завод D440 Согласование заявок ;ZUMMX03_WKS_D440 
Орг. роль Завод D440 Создание заявок ;ZUMMX01_WKS_D440 
Орг. роль Завод D440 Специалист функциональных направлений ;ZUMMX07_WKS_D440 
Орг. роль Завод D440 Топливообеспечение ;ZUMMX08_WKS_D440 
Орг. роль Завод D461 Бухгалтерия и инвентаризация ;ZUMMX09_WKS_D461 
Орг. роль Завод D461 Ввод плановых цен ;ZUMMX02_WKS_D461 
Орг. роль Завод D461 Движение материала ;ZUMMX06_WKS_D461 
Орг. роль Завод D461 Закупочные процедуры ;ZUMMX04_WKS_D461 
Орг. роль Завод D461 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_D461 
Орг. роль Завод D461 Отчеты зявки и заказы ;ZUMMX11_WKS_D461 
Орг. роль Завод D461 Согласование заявок ;ZUMMX03_WKS_D461 
Орг. роль Завод D461 Создание заявок ;ZUMMX01_WKS_D461 
Орг. роль Завод D461 Специалист функциональных направлений ;ZUMMX07_WKS_D461 
Орг. роль Завод D461 Топливообеспечение ;ZUMMX08_WKS_D461 
Орг. роль Завод DXXX Бухгалтер по закрытию периода в MM ;ZUMMX10_WKS_DXXX 
Орг. роль Завод DXXX Бухгалтерия и инвентаризация ;ZUMMX09_WKS_DXXX 
Орг. роль Завод DXXX Ввод палновых цен ;ZUMMX02_WKS_DXXX 
Орг. роль Завод DXXX Движение материала ;ZUMMX06_WKS_DXXX 
Орг. роль Завод DXXX Закупочные процедуры ;ZUMMX04_WKS_DXXX 
Орг. роль Завод DXXX Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_WKS_DXXX 
Орг. роль Завод DXXX ОРЭМ ;ZUMMX12_WKS_DXXX   
Орг. роль Завод DXXX Отчеты зявки и заказы ;ZUMMX11_WKS_DXXX 
Орг. роль Завод DXXX Согласование заявок ;ZUMMX03_WKS_DXXX 
Орг. роль Завод DXXX Создание заявок ;ZUMMX01_WKS_DXXX 
Орг. роль Завод DXXX Специалист функциональных направлений ;ZUMMX07_WKS_DXXX 
Орг. роль Завод DXXX Топливообеспечение ;ZUMMX08_WKS_DXXX 
Орг. роль Закуп. орг. D000 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_D000 
Орг. роль Закуп. орг. D001 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_D001 
Орг. роль Закуп. орг. D002 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_D002 
Орг. роль Закуп. орг. D003 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_D003 
Орг. роль Закуп. орг. D004 Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_D004 
Орг. роль Закуп. орг. DXXX Бухгалтер по закрытию периода в MM ;ZUMMX10_EKG_DXXX 
Орг. роль Закуп. орг. DXXX Закупочные процедуры по УС (куратор) и ЗНП ;ZUMMX05_EKG_DXXX 
Орг. роль Закупочная организация D000 Бухгалтерия и инвентаризация ;ZUMMX09_EKG_D000 
Орг. роль Закупочная организация D000 Ввод плановых цен ;ZUMMX02_EKG_D000 
Орг. роль Закупочная организация D000 Движение материалов ;ZUMMX06_EKG_D000 
Орг. роль Закупочная организация D000 Закупочные процедуры ;ZUMMX04_EKG_D000 
Орг. роль Закупочная организация D000 Отчеты зявки и заказы ;ZUMMX11_EKG_D000 
Орг. роль Закупочная организация D000 Согласование заявок;ZUMMX03_EKG_D000
Орг. роль Закупочная организация D000 Создание заявок ;ZUMMX01_EKG_D000 
Орг. роль Закупочная организация D000 Специалист функциональных направлений ;ZUMMX07_EKG_D000 
Орг. роль Закупочная организация D000 Топливообеспечение ;ZUMMX08_EKG_D000 
Орг. роль Закупочная организация D001 Бухгалтерия и инвентаризация ;ZUMMX09_EKG_D001 
Орг. роль Закупочная организация D001 Ввод плановых цен ;ZUMMX02_EKG_D001 
Орг. роль Закупочная организация D001 Движение материалов ;ZUMMX06_EKG_D001 
Орг. роль Закупочная организация D001 Закупочные процедуры ;ZUMMX04_EKG_D001 
Орг. роль Закупочная организация D001 Отчеты зявки и заказы ;ZUMMX11_EKG_D001 
Орг. роль Закупочная организация D001 Согласование заявок;ZUMMX03_EKG_D001
Орг. роль Закупочная организация D001 Создание заявок ;ZUMMX01_EKG_D001 
Орг. роль Закупочная организация D001 Специалист функциональных направлений ;ZUMMX07_EKG_D001 
Орг. роль Закупочная организация D001 Топливообеспечение ;ZUMMX08_EKG_D001 
Орг. роль Закупочная организация D002 Бухгалтерия и инвентаризация ;ZUMMX09_EKG_D002 
Орг. роль Закупочная организация D002 Ввод плановых цен ;ZUMMX02_EKG_D002 
Орг. роль Закупочная организация D002 Движение материалов ;ZUMMX06_EKG_D002 
Орг. роль Закупочная организация D002 Закупочные процедуры ;ZUMMX04_EKG_D002 
Орг. роль Закупочная организация D002 Отчеты зявки и заказы ;ZUMMX11_EKG_D002 
Орг. роль Закупочная организация D002 Согласование заявок;ZUMMX03_EKG_D002
Орг. роль Закупочная организация D002 Создание заявок ;ZUMMX01_EKG_D002 
Орг. роль Закупочная организация D002 Специалист функциональных направлений ;ZUMMX07_EKG_D002 
Орг. роль Закупочная организация D002 Топливообеспечение ;ZUMMX08_EKG_D002 
Орг. роль Закупочная организация D003 Бухгалтерия и инвентаризация ;ZUMMX09_EKG_D003 
Орг. роль Закупочная организация D003 Ввод плановых цен ;ZUMMX02_EKG_D003 
Орг. роль Закупочная организация D003 Движение материалов ;ZUMMX06_EKG_D003 
Орг. роль Закупочная организация D003 Закупочные процедуры ;ZUMMX04_EKG_D003 
Орг. роль Закупочная организация D003 Отчеты зявки и заказы ;ZUMMX11_EKG_D003 
Орг. роль Закупочная организация D003 Согласование заявок;ZUMMX03_EKG_D003
Орг. роль Закупочная организация D003 Создание заявок ;ZUMMX01_EKG_D003 
Орг. роль Закупочная организация D003 Специалист функциональных направлений ;ZUMMX07_EKG_D003 
Орг. роль Закупочная организация D003 Топливообеспечение ;ZUMMX08_EKG_D003 
Орг. роль Закупочная организация D004 Бухгалтерия и инвентаризация ;ZUMMX09_EKG_D004 
Орг. роль Закупочная организация D004 Ввод плановых цен ;ZUMMX02_EKG_D004 
