МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D215540000;ТЭЦ15Авт-ОПР;Общепроизводственные Автовская ТЭЦ-15;D215
D215650100;ТЭЦ15Авт-УпрТЭС;Руководство Автовская ТЭЦ-15;D215
D215870000;ТЭЦ15Авт-ДКС;Дирекция по капитальному строительству Автовская ТЭЦ-15;D215
D215870100;ТЭЦ15Авт-ОКС;Группа КС Автовская ТЭЦ-15;D215
D215960400;ТЭЦ15Авт-УчМедиц;Медицинские учреждения;D215
D215960700;ТЭЦ15Авт-СХ;Сельское хозяство;D215
D215960800;ТЭЦ15Авт-ОК;Оздоровительный комплекс;D215
D215960900;ТЭЦ15Авт-СЗ;Спортивный зал;D215
D215961000;ТЭЦ15Авт-ФП;Футбольное поле;D215
D217020001;ТЭЦ17Выб-ОГ-01 СМ ТГ;ОГ №1 СМ  ТГ  3-х фазного тока   Выборгская ТЭЦ-17;D217
D217020101;ТЭЦ17Выб-ОГ-02 СМ ТГ;ОГ №2  СМ ТГ  3-х фазного тока   Выборгская ТЭЦ-17;D217
D217020201;ТЭЦ17Выб-ОГ-03 СМ ТГ;ОГ №3 СМ ТГ  3-х фазного тока   Выборгская ТЭЦ-17;D217
D217020301;ТЭЦ17Выб-ОГ-04 СМ ТГ;ОГ №4 СМ ТГ  3-х фазного тока   Выборгская ТЭЦ-17;D217
D217020401;ТЭЦ17Выб-ОГ-05 СМ П1;ОГ №5 СМ  ПВК-1   Выборгская ТЭЦ-17;D217
D217020501;ТЭЦ17Выб-ОГ-06 СМ П2;ОГ №6  СМ ПВК-2   Выборгская ТЭЦ-17;D217
D217020601;ТЭЦ17Выб-ОГ-07 СМ П3;ОГ №7  СМ ПВК-3   Выборгская ТЭЦ-17;D217
D217020701;ТЭЦ17Выб-ОГ-08 СМ П4;ОГ №8  СМ ПВК-4   Выборгская ТЭЦ-17;D217
D217020801;ТЭЦ17Выб-ОГ-09 СМ П5;ОГ №9  СМ ПВК-5   Выборгская ТЭЦ-17;D217
D217200101;ТЭЦ17Выб-КТЦ СМ;КТЦ Выборгская ТЭЦ-17;D217
D217200111;ТЭЦ17Выб-КТЦ СМ Хоз;Затраты на ремонт хозяйственным способом КТЦ Выборгская ТЭЦ-17 ;D217
D217210001;ТЭЦ17Выб-ЭЦ СМ;Электроцех СМ Выборгская ТЭЦ-17;D217
D217210011;ТЭЦ17Выб-ЭЦ СМ Хоз;Затраты на ремонт хозяйственным способом Электроцех СМ Выборгская ТЭЦ-17;D217
D217210301;ТЭЦ17Выб-ХПВ СМ;Хим. Подготовленная вода Выборгская ТЭЦ-17;D217
D217210311;ТЭЦ17Выб-ХПВ СМ Хоз;Затраты на ремонт хозяйственным способом Хим. Подготовленная вода Выборгская ТЭЦ-17;D217
D217210401;ТЭЦ17Выб-ВСН СМ;Вода на СН Выборгская ТЭЦ-17;D217
D217210501;ТЭЦ17Выб-ТепВпар СМ;Теплоноситель в паре Выборгская ТЭЦ-17;D217
D217210601;ТЭЦ17Выб-ТепВвод СМ;Теплоноситель в воде Выборгская ТЭЦ-17;D217
D217211201;ТЭЦ17Выб-ЦТАИ СМ;Цех ТАИ  СМ Выборгская ТЭЦ-17;D217
D217211211;ТЭЦ17Выб-ЦТАИ СМ Хоз;Электроцех СМ Выборгская ТЭЦ-17 - Заработная плата на ремонт хозяйственным способом;D217
D217211800;ТЭЦ17Выб-Резерв ТМ;Резервирование тепловой мощности Выборгская ТЭЦ-17;D217
D217212100;ТЭЦ17Выб-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D217
D217212200;ТЭЦ17Выб-Подк сис ТС;Подключение к системе теплоснабжение;D217
D217212300;ТЭЦ17Выб-АРС эксплтц;Аварийно-ремонтная служба (АРС) эксплуатация;D217
D217330200;ТЭЦ17Выб-Услуги САТ;Услуги собственного автотранспорта Выборгская ТЭЦ-17;D217
D217330300;ТЭЦ17Выб-УслСвязи;Услуги связи Выборгская ТЭЦ-17;D217
D217330400;ТЭЦ17Выб-Услуги ИВО;Услуги ИВО Выборгская ТЭЦ-17;D217
D217330500;ТЭЦ17Выб-УслПолигр; Услуги полиграфии Выборгская ТЭЦ-17;D217
D217330600;ТЭЦ17Выб-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД Выборгская ТЭЦ-17;D217
D217330700;ТЭЦ17Выб-УслСвязРасп;Услуги связи РАСПРЕД Выборгская ТЭЦ-17;D217
D217330800;ТЭЦ17Выб-УслИВО Расп;Услуги ИВО РАСПРЕД Выборгская ТЭЦ-17;D217
D217330900;ТЭЦ17Выб-УслПолиРасп; Услуги полиграфии РАСПРЕД Выборгская ТЭЦ-17;D217
D217331200;ТЭЦ17Выб-АРС;Аварийно-ремонтная служба (АРС);D217
D217331400;ТЭЦ17Выб-УслСбстРспр;Услуги собственные распределяемые;D217
D217540000;ТЭЦ17Выб-ОПР;Общепроизводственные Выборгская ТЭЦ-17;D217
D217650100;ТЭЦ17Выб-УпрТЭС;Руководство Выборгская ТЭЦ-17;D217
D217870100;ТЭЦ17Выб-ОКС;Группа КС Выборгская ТЭЦ-17;D217
D217960600;ТЭЦ17Выб-УчОздоров;Оздоровительные учреждения;D217
D206020001;ГЭС06Вол-ОГ-01 СМ;ОГ№1 СМ ГЭС-6 Волховская;D220
D206020101;ГЭС06Вол-ОГ-02 СМ;ОГ№2  СМ ГЭС-6 Волховская;D220
D206020201;ГЭС06Вол-ОГ-03 СМ;ОГ№3 СМ ГЭС-6 Волховская;D220
D206020301;ГЭС06Вол-ОГ-04 СМ;ОГ№4 СМ ГЭС-6 Волховская;D220
D206020401;ГЭС06Вол-ОГ-05 СМ;ОГ№5 СМ ГЭС-6 Волховская;D220
