МВЗ;Название SAP (40 символов);Название вне SAP (полное);МВП
D230330300;КдВуокси-УслСвязи;Услуги связи Каскад-1   Вуоксинских ГЭС;D230
D230330400;КдВуокси-Услуги ИВО;Услуги ИВО Каскад-1   Вуоксинских ГЭС;D230
D230330500;КдВуокси-УслПолигр; Услуги полиграфии Каскад-1   Вуоксинских ГЭС ;D230
D230330600;КдВуокси-УслСАТ Расп;Услуги собственного автотранспорта РАСПРЕД Каскад-1   Вуоксинских ГЭС;D230
D230330700;КдВуокси-УслСвязРасп;Услуги связи РАСПРЕД Каскад-1   Вуоксинских ГЭС;D230
D230330800;КдВуокси-УслИВО Расп;Услуги ИВО РАСПРЕД Каскад-1   Вуоксинских ГЭС;D230
D230330900;КдВуокси-УслПолиРасп; Услуги полиграфии РАСПРЕД Каскад-1   Вуоксинских ГЭС ;D230
D230331100;КдВуокси-АТЦ СЗ Расп;Автотранспортный участок Каскад-1 - СЗ (РАСПРЕД);D230
D230331400;КдВуокси-УслСбстРспр;Услуги собственные распределяемые;D230
D230540000;КдВуокси-ОПР;Общепроизводственные Каскад-1   Вуоксинских ГЭС ;D230
D230650000;КдВуокси-УпрКаскадом;Управление Каскад-1  Вуоксинских ГЭС;D230
D230870100;КдВуокси-ОКС;ОКС Каскад-1  Вуоксинских ГЭС;D230
D291331000;Предпр  -СДТУиИТ;Предприятие СДТУиИТ;D291
D291331010;Предпр  -СДТУиИТ Хоз;Затраты на ремонт хозяйственным способом Предприятие СДТУиИТ ;D291
D291870100;ПСДТУиИТ-ОКС;Группа КС ПСДТУиИТ;D291
D300650000;УФКарель-УпрФилиалом;Управление  филиала Карельский;D300
D300650200;Сбыт т/э-УФКарел;Сбыт т/э. Управление  филиала Карельский;D300
D300650300;УФКарель-ПодКСисТплс;Петрозаводск. Подключение к системе теплоснабжения;D300
D300870100;УФКарель-ОКС;ОКС;D300
D300960000;УФКарель-Гостиница;Гостиница;D300
D303020001;ГЭС03Мат-ОГ-01 СМ;ОГ№1 СМ ГЭС 3 -Маткожненская  (Выгские ГЭС);D330
D303020101;ГЭС03Мат-ОГ-02 СМ;ОГ№2 СМ  ГЭС 3 -Маткожненская  (Выгские ГЭС);D330
D303020201;ГЭС03Мат-ОГ-03 СМ;ОГ№3 СМ ГЭС 3 -Маткожненская  (Выгские ГЭС);D330
D303201101;ГЭС03Мат-ГЭС СМ;"ГЭС 3  Маткожненская  (Выгские ГЭС)";D330
D303201111;ГЭС03Мат-ГЭС СМ Хоз;ГЭС 3  Маткожненская  (Выгские ГЭС). Затраты на ремонт хозяйственным способом;D330
D303212100;ГЭС03Мат-ТехПрис.ЭС;ГЭС 3. Тех.присоединения к эл. сетям;D330
D305020001;ГЭС05Выг-ОГ-01 СМ;ОГ№1 СМ ГЭС 5 - Выгостровская (Выгские ГЭС);D330
D305020101;ГЭС05Выг-ОГ-02 СМ;ОГ№2  СМ ГЭС 5 - Выгостровская (Выгские ГЭС);D330
D305201101;ГЭС05Выг-ГЭС СМ;ГЭС 5 Выгостровская (Выгские ГЭС);D330
D305201111;ГЭС05Выг-ГЭС СМ Хоз;ГЭС 5 Выгостровская (Выгские ГЭС). Затраты на ремонт хозяйственным способом;D330
D305212100;ГЭС05Выг-ТехПрис.ЭС;ГЭС 5. Тех.присоединения к эл. Сетям;D330
D306020001;ГЭС06Бел-ОГ-01 СМ;ОГ№1 СМ ГЭС 6 - Беломорская  (Выгские ГЭС);D330
D306020101;ГЭС06Бел-ОГ-02 СМ;ОГ№2 СМ ГЭС 6 - Беломорская  (Выгские ГЭС);D330
D306020201;ГЭС06Бел-ОГ-03 СМ;ОГ№3 СМ ГЭС 6 - Беломорская  (Выгские ГЭС);D330
D306201101;ГЭС06Бел-ГЭС СМ;"ГЭС 6  Беломорская  (Выгские ГЭС)  ";D330
D306201111;ГЭС06Бел-ГЭС СМ Хоз;ГЭС 6  Беломорская  (Выгские ГЭС). Затраты на ремонт хозяйственным способом;D330
D306212100;ГЭС06Бел-ТехПрис.ЭС;ГЭС 6. Тех.присоединения к эл. сетям;D330
D307020001;ГЭС07Пал-ОГ-01 СМ;ОГ№1 СМ ГЭС 7- Палакоргская  (Выгские ГЭС) ;D330
D307020101;ГЭС07Пал-ОГ-02 СМ;ОГ№2 СМ ГЭС 7- Палакоргская  (Выгские ГЭС) ;D330
D307020201;ГЭС07Пал-ОГ-03 СМ;ОГ№3 СМ ГЭС 7- Палакоргская  (Выгские ГЭС) ;D330
D307201101;ГЭС07Пал-ГЭС СМ;ГЭС 7- Палакоргская  (Выгские ГЭС) ;D330
D307201111;ГЭС07Пал-ГЭС СМ Хоз;ГЭС 7- Палакоргская  (Выгские ГЭС). Затраты на ремонт хозяйственным способом.;D330
D307212100;ГЭС07Пал-ТехПрис.ЭС;ГЭС 7. Тех.присоединения к эл. сетям;D330
D330330000;КдВыгскх-АТЦ;Автотранспортный участок   Выгских ГЭC   ;D330
D330330010;КдВыгскх-АТЦ Хоз;Автотранспортный участок. Выгские ГЭC. Затраты на ремонт хозяйственным способом;D330
D330540000;КдВыгскх-ОПР;Общепроизводственные Выгских ГЭС;D330
D330650000;КдВыгскх-УпрКаскадом;Управление Выгских ГЭС;D330
D330870100;КВГЭС-ОКС;Группа КС КВГЭС;D330
D309020001;ГЭС09Пут-ОГ-01 СМ;ОГ№1 СМ ГЭС 9- Путкинская (Кемские ГЭС);D340
D309020101;ГЭС09Пут-ОГ-02 СМ;ОГ№2  СМ ГЭС 9- Путкинская (Кемские ГЭС);D340
D309020201;ГЭС09Пут-ОГ-03 СМ;ОГ№3 СМ ГЭС 9- Путкинская (Кемские ГЭС);D340
D309201101;ГЭС09Пут-ГЭС СМ;ГЭС 9  Путкинская (Кемские ГЭС);D340
D309201111;ГЭС09Пут-ГЭС СМ Хоз;ГЭС 9  Путкинская (Кемские ГЭС). Затраты на ремонт хозяйственным способом;D340
D309212100;ГЭС09Пут-ТехПрис.ЭС;ГЭС 9. Тех.присоединения к эл. сетям;D340
D310020001;ГЭС10Под-ОГ-01 СМ;ОГ№1 СМ ГЭС10- Подужемская (Кемские ГЭС);D340
D310020101;ГЭС10Под-ОГ-02 СМ;ОГ№2 СМ ГЭС10- Подужемская (Кемские ГЭС);D340
D310201101;ГЭС10Под-ГЭС СМ;ГЭС10  Подужемская (Кемские ГЭС);D340
D310201111;ГЭС10Под-ГЭС СМ Хоз;ГЭС10  Подужемская (Кемские ГЭС). Затраты на ремонт хозяйственным способом;D340
D310212100;ГЭС10Под-ТехПрис.ЭС;ГЭС 10. Тех.присоединения к эл. сетям;D340
D314020001;ГЭС14Кри-ОГ-01 СМ;ОГ№1 СМ ГЭС 14- Кривопорожская (Кемские ГЭС);D340
D314020101;ГЭС14Кри-ОГ-02 СМ;ОГ№2 СМ ГЭС 14- Кривопорожская (Кемские ГЭС);D340
D314020201;ГЭС14Кри-ОГ-03 СМ;ОГ№3 СМ ГЭС 14- Кривопорожская (Кемские ГЭС);D340
D314020301;ГЭС14Кри-ОГ-04 СМ;ОГ№4 СМ ГЭС 14- Кривопорожская (Кемские ГЭС);D340
D314201101;ГЭС14Кри-ГЭС СМ;ГЭС 14  Кривопорожская (Кемские ГЭС);D340
D314201111;ГЭС14Кри-ГЭС СМ Хоз;ГЭС 14  Кривопорожская (Кемские ГЭС). Затраты на ремонт хозяйственным способом;D340
D314212100;ГЭС14Кри-ТехПрис.ЭС;ГЭС 14. Тех.присоединения к эл. сетям;D340
D316020001;ГЭС16Юшк-ОГ-01 СМ;ОГ№1 СМ ГЭС 16 - Юшкозерская (Кемские ГЭС);D340
D316020101;ГЭС16Юшк-ОГ-02 СМ;ОГ№2 СМ ГЭС 16 - Юшкозерская (Кемские ГЭС);D340
D316201101;ГЭС16Юшк-ГЭС СМ;ГЭС 16  Юшкозерская (Кемские ГЭС);D340
D316201111;ГЭС16Юшк-ГЭС СМ Хоз;ГЭС 16  Юшкозерская (Кемские ГЭС). Затраты на ремонт хозяйственным способом;D340
D316212100;ГЭС16Юшк-ТехПрис.ЭС;ГЭС 16. Тех.присоединения к эл. сетям;D340
D340330000;КдКемскх-АТЦ;Автотранспортный участок  Кемских ГЭС;D340
D340330010;КдКемскх-АТЦ Хоз;Автотранспортный участок. Кемских ГЭС. Затраты на ремонт хозяйственным способом ;D340
D340540000;КдКемскх-ОПР;Общепроизводственные Кемских;D340
D340650000;КдКемскх-УпрКаскадом;Управление Кемских ГЭС;D340
D340870100;ККГЭС-ОКС;Группа КС ККГЭС;D340
D340960000;ККГЭС-Гостиница;Гостиница Каскада Кемских ГЭС;D340
D301020001;ГЭС01Кон-ОГ-01 СМ;ОГ№1 СМ  ГЭС 1 -Кондопожская (СунскиеГЭС);D350
D301020101;ГЭС01Кон-ОГ-02 СМ;ОГ№2 СМ ГЭС 1 -Кондопожская (СунскиеГЭС);D350
D301020201;ГЭС01Кон-ОГ-03 СМ;ОГ№3 СМ ГЭС 1 -Кондопожская (СунскиеГЭС);D350
D301201101;ГЭС01Кон-ГЭС СМ;ГЭС 1  Кондопожская (СунскиеГЭС);D350
D301201111;ГЭС01Кон-ГЭС СМ Хоз;ГЭС 1 Кондопожская (СунскиеГЭС). Затраты на ремонт хозяйственным способом;D350
D301212100;ГЭС01Кон-ТехПрис.ЭС;ГЭС 1. Тех.присоединения к эл. сетям.;D350
D302020001;ГЭС02Пал-ОГ-01 СМ;ОГ№1 СМ ГЭС 2- Пальеозерская (СунскиеГЭС);D350
D302020101;ГЭС02Пал-ОГ-02 СМ;ОГ№2 СМ ГЭС 2- Пальеозерская (СунскиеГЭС);D350
D302201101;ГЭС02Пал-ГЭС СМ;ГЭС 2   Пальеозерская (СунскиеГЭС);D350
D302201111;ГЭС02Пал-ГЭС СМ Хоз;ГЭС 2 Пальеозерская (СунскиеГЭС). Затраты на ремонт хозяйственным способом;D350
D302212100;ГЭС02Пал-ТехПрис.ЭС;ГЭС 2. Тех.присоединения к эл. сетям.;D350
D317020001;ГЭСКасМа-ОГ-01 СМ 19;ОГ№1 СМ (Питкякоски ГЭС№19) Каскад малых ГЭС (Сунские ГЭС) ;D350
D317020101;ГЭСКасМа-ОГ-01 СМ 21;ОГ№1 СМ ( Хямекоски ГЭС№21) Каскад малых ГЭС (Сунские ГЭС) ;D350
D317020201;ГЭСКасМа-ОГ-02 СМ 21;ОГ№2 СМ ( Хямекоски ГЭС№21) Каскад малых ГЭС (Сунские ГЭС);D350
D317020301;ГЭСКасМа-ОГ-03 СМ 21;ОГ№3 СМ ( Хямекоски ГЭС№21) Каскад малых ГЭС (Сунские ГЭС);D350
D317020401;ГЭСКасМа-ОГ-04 СМ 21;ОГ№4 СМ ( Хямекоски ГЭС№21) Каскад малых ГЭС (Сунские ГЭС);D350
D317020501;ГЭСКасМа-ОГ-05 СМ 21;ОГ№5 СМ ( Хямекоски ГЭС№21) Каскад малых ГЭС (Сунские ГЭС);D350
D317020601;ГЭСКасМа-ОГ-01 СМ 22;ОГ№1 СМ ( ХарлуГЭС№22) Каскад малых ГЭС (Сунские ГЭС);D350
D317020701;ГЭСКасМа-ОГ-02 СМ 22;ОГ№2 СМ ( ХарлуГЭС№22) Каскад малых ГЭС (Сунские ГЭС);D350
D317020801;ГЭСКасМа-ОГ-01 СМ 24;ОГ№1 СМ (Пиени-Йоки ГЭС№24) Каскад малых ГЭС (Сунские ГЭС);D350
D317020901;ГЭСКасМа-ОГ-02 СМ 24;ОГ№2 СМ (Пиени-Йоки ГЭС№24) Каскад малых ГЭС (Сунские ГЭС);D350
D317021001;ГЭСКасМа-ОГ-01 СМ 25;ОГ№1 СМ (Суури-Йоки ГЭС№25) Каскад малых ГЭС (Сунские ГЭС);D350
D317021101;ГЭСКасМа-ОГ-02 СМ 25;ОГ№2 СМ (Суури-Йоки ГЭС№25) Каскад малых ГЭС (Сунские ГЭС);D350
D317021201;ГЭСКасМа-ОГ-01 СМ 26;ОГ№1 СМ (Игнойла ГЭС№26) Каскад малых ГЭС (Сунские ГЭС) ;D350
D317201101;ГЭСКасМа-ГЭС СМ;Каскад малых ГЭС (Сунские ГЭС);D350
D317201111;ГЭСКасМа-ГЭС СМ Хоз;Каскад малых ГЭС (Сунские ГЭС). Затраты на ремонт хозяйственным способом;D350
D317212100;ГЭСКасМа-ТехПрис.ЭС;Малые ГЭС. Тех.присоединения к эл. сетям;D350
D350330000;КдСунскх-АТЦ;Автотранспортный участок Сунских ГЭС ;D350
D350330010;КдСунскх-АТЦ Хоз;Автотранспортный участок. Сунские ГЭС. Затраты на ремонт хозяйственным способом;D350
D350540000;КдСунскх-ОПР;Общепроизводственные Сунских ГЭС;D350
D350650000;КдСунскх-УпрКаскадом;Управление Сунских ГЭС;D350
D350870100;КСГЭС-ОКС;Группа КС КСГЭС;D350
D361020001;ТЭЦПетро-ОГ-01 СМ;ОГ№1 СМ Пертозаводская ТЭЦ ;D361
D361020101;ТЭЦПетро-ОГ-02 СМ;ОГ№2 СМ Пертозаводская ТЭЦ;D361
D361020201;ТЭЦПетро-ОГ-03 СМ;ОГ№3 СМ Пертозаводская ТЭЦ;D361
D361200101;ТЭЦПетро-КТЦ СМ;КТЦ. ПТЭЦ ;D361
D361200111;ТЭЦПетро-КТЦ СМ Хоз;КТЦ. ПТЭЦ. Затраты на ремонт хозяйственным способом;D361
D361210001;ТЭЦПетро-ЭЦ СМ;ЭЦ   СМ  Петрозаводская ТЭЦ;D361
D361210011;ТЭЦПетро-ЭЦ СМ Хоз;ЭЦ   СМ. ПТЭЦ. Затраты на ремонт хозяйственным способом ;D361
D361210301;ТЭЦПетро-ХПВ СМ;Хим. подготовленная вода. ПТЭЦ ;D361
D361210311;ТЭЦПетро-ХПВ СМ Хоз;Хим. подготовленная вода. ПТЭЦ. Затраты на ремонт хозяйственным способом ;D361
D361210401;ТЭЦПетро-ВСН СМ;Вода на СН Петрозаводская ТЭЦ ;D361
D361210501;ТЭЦПетро-ТепВпар СМ;Теплоноситель в паре Петрозаводская ТЭЦ ;D361
D361210601;ТЭЦПетро-ТепВвод СМ;Теплоноситель в воде Петрозаводская ТЭЦ ;D361
D361211201;ТЭЦПетро-ЦТАИ СМ;ЦТАИ  СМ. ПТЭЦ;D361
D361211211;ТЭЦПетро-ЦТАИ СМ Хоз;ЦТАИ  СМ. ПТЭЦ. Затраты на ремонт хозяйственным способом ;D361
D361211400;ТЭЦПетро-Перед Т/Э;ЦТС ПТЭЦ;D361
D361211410;ТЭЦПетро-ПерТ/Э Хоз;ЦТС ПТЭЦ. Затраты на ремонт хозяйственным способом;D361
D361211801;ТЭЦПетро-Резерв ТМ;Резервирование тепловой мощности ПТЭЦ;D361
D361211901;ТЭЦПетро-ТТЦ СМ;Топливно-транспортный цех  СМ ПТЭЦ ;D361
D361211911;ТЭЦПетро-ТТЦ СМ Хоз;Топливно-транспортный цех  СМ  ПТЭЦ. Затраты на ремонт хозяйственным способом;D361
D361212100;ТЭЦПетро-ТехПрис.ЭС;Тех.присоединения к эл. сетям ПТЭЦ;D361
D361212200;ТЭЦПетро-Подк сис ТС;Подключение к системе теплоснабжения ПТЭЦ;D361
D361330000;ТЭЦПетро-АТЦ;Автотранспортный участок ПТЭЦ;D361
D361330010;ТЭЦПетро-АТЦ Хоз;Автотранспортный участок ПТЭЦ. Затраты на ремонт хозяйственным способом ;D361
D361540000;ТЭЦПетро-ОПР;Общепроизводственые Петрозаводская ТЭЦ;D361
D361650100;ТЭЦПетро-УпрТЭС;Управление Петрозаводская ТЭЦ;D361
D361870100;ПТЭЦ-ОКС;Группа КС ПТЭЦ;D361
D370023001;КТСиО Вилга;Комплекс КТСиО Вилга-Прионежский район;D370
D370023101;КТСиО Вилга(военгор);Комплекс КТСиО Вилга (военный городок)-Прионежский район;D370
D370023201;КТСиО Деревянка;Комплекс КТСиО Деревянка-Прионежский район;D370
D370023301;КТСиО Деревянное;Комплекс КТСиО Деревянное-Прионежский район;D370
D370023401;КТСиО Заозерье;Комплекс КТСиО Заозерье-Прионежский район;D370
D370023501;КТСиО Кварцитный;Комплекс КТСиО Кварцитный-Прионежский район;D370
D370023601;КТСиО Ладва (ПТУ);Комплекс КТСиО Ладва (ПТУ)-Прионежский район;D370
D370023701;КТСиО Ладва (школа);Комплекс КТСиО Ладва (школа)-Прионежский район;D370
D370023801;КТСиО Новая Вилга;Комплекс КТСиО Новая Вилга-Прионежский район;D370
D370023901;КТСиО Пай;Комплекс КТСиО Пай-Прионежский район;D370
D370024001;КТСиО Педасельга;Комплекс КТСиО Педасельга-Прионежский район;D370
D370024101;КТСиО Рыбрека;Комплекс КТСиО Рыбрека-Прионежский район;D370
D370024201;КТСиО Шелтозеро;Комплекс КТСиО Шелтозеро-Прионежский район;D370
D370024301;Котлн Шелтозеро(шкл);Котельная Шелтозеро (школа)-Прионежский район;D370
D370024401;Котлн Шокша (шкл);Котельная Шокша (школа)-Прионежский район;D370
D370024501;ТС Мелиоративный;ТС Мелиоративный-Прионежский район;D370
D370024601;ТС Новая Вилга;ТС Новая Вилга-Прионежский район;D370
D370024701;ТС Шуя;ТС Шуя-Прионежский район;D370
D370210601;Теплоноситель в воде;Теплоноситель в воде Прионежский район;D370
D370212200;ПодклКСистТеплоснаб;Подключение к системе теплоснабжения;D370
D370650100;УпрвлПрионежскимРайо;Управление Прионежским районом;D370
D380024801;КТСиО Ведлозеро 1;Комплекс КТСиО Ведлозеро 1 - Пряжинский район;D380
D380024901;КТСиО Ведлозеро 2;Комплекс КТСиО Ведлозеро 2 - Пряжинский район;D380
D380025001;КТСиО Крошнозеро 1;Комплекс КТСиО Крошнозеро 1 - Пряжинский район;D380
D380025101;КТСиО Крошнозеро 2;Комплекс КТСиО Крошнозеро 2 - Пряжинский район;D380
D380025201;КТСиО Матросы;Комплекс КТСиО Матросы - Пряжинский район;D380
D380025301;КТСиО Падозеро;Комплекс КТСиО Падозеро - Пряжинский район;D380
D380025401;КТСиО Пряжа 1;Комплекс КТСиО Пряжа 1 - Пряжинский район;D380
D380025501;КТСиО Пряжа 3;Комплекс КТСиО Пряжа 3 - Пряжинский район;D380
D380025601;КТСиО Пряжа 4;Комплекс КТСиО Пряжа 4 - Пряжинский район;D380
D380025701;КТСиО Пряжа 5;Комплекс КТСиО Пряжа 5 - Пряжинский район;D380
D380025801;КТСиО Савиново;Комплекс КТСиО Савиново - Пряжинский район;D380
D380025901;КТСиО Святозеро;Комплекс КТСиО Святозеро - Пряжинский район;D380
D380026001;КТСиО Чална;Комплекс КТСиО Чална - Пряжинский район;D380
D380026101;КТСиО Эссойла 1;Комплекс КТСиО Эссойла 1 - Пряжинский район;D380
D380026201;КТСиО Эссойла 2;Комплекс КТСиО Эссойла 2 - Пряжинский район;D380
D380026301;ТС Эссойла;ТС Эссойла (от котельной №3) - Пряжинский район;D380
D380026401;ЭлктркотльнВедлозеро;Электрокотельная Ведлозеро - Пряжинский район;D380
D380210601;Теплоноситель в воде;Теплоноситель в воде Пряжинский район;D380
D380212200;ПодклКСистТеплоснаб;Подключение к системе теплоснабжения;D380
D380650100;УпрвлПряжинскимРайон;Управление Пряжинским районом;D380
D400650000;УФКольск-УпрФилиалом;Управление филиала Кольский;D400
D400870100;УФКольск-ОКС;ОКС Ф.Кольский;D400
D400960000;УФКольск-Гостиница;Гостиница;D400
D400960200;УФКольск-ЖХ;Жилищное хозяйство;D400
D400960300;УФКольск-КХ;Коммунальное хозяйство;D400
D401020001;ГЭС01Нив-ОГ-01 СМ;ОГ№1  CM ГЭС № 1 (Нивские ГЭС);D420
D401020101;ГЭС01Нив-ОГ-02 СМ;ОГ№2 CM  ГЭС № 1 (Нивские ГЭС);D420
D401201101;ГЭС01Нив-ГЭС СМ;ГЭС -1 СМ (Нивские ГЭС);D420
D401201111;ГЭС01Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -1 СМ (Нивские ГЭС);D420
D401212100;ГЭС01Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D402020001;ГЭС02Нив-ОГ-01 СМ;ОГ№1  CM ГЭС№ 2 (Нивские ГЭС);D420
D402020101;ГЭС02Нив-ОГ-02 СМ;ОГ№2   CM ГЭС№ 2 (Нивские ГЭС);D420
D402020201;ГЭС02Нив-ОГ-03 СМ;ОГ№3  CM ГЭС№ 2 (Нивские ГЭС);D420
D402020301;ГЭС02Нив-ОГ-04 СМ;ОГ№4  CM  ГЭС№ 2 (Нивские ГЭС);D420
D402201101;ГЭС02Нив-ГЭС СМ;ГЭС -2 CM (Нивские ГЭС);D420
D402201111;ГЭС02Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -2 CM (Нивские ГЭС);D420
D402212100;ГЭС02Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D403020001;ГЭС03Нив-ОГ-01 СМ;ОГ№1  CM ГЭС№3 (Нивские ГЭС);D420
D403020101;ГЭС03Нив-ОГ-02 СМ;ОГ№2  CM ГЭС№3 (Нивские ГЭС);D420
D403020201;ГЭС03Нив-ОГ-03 СМ;ОГ№3  CM ГЭС№3 (Нивские ГЭС);D420
D403020301;ГЭС03Нив-ОГ-04 СМ;ОГ№4  CM ГЭС№ 3 (Нивские ГЭС);D420
D403201101;ГЭС03Нив-ГЭС СМ; ГЭС-3 СМ (Нивские ГЭС);D420
D403201111;ГЭС03Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом  ГЭС-3 СМ (Нивские ГЭС);D420
D403212100;ГЭС03Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D409020001;ГЭС09Нив-ОГ-01 СМ;ОГ№1 CM ГЭС№9 (Нивские ГЭС);D420
D409020101;ГЭС09Нив-ОГ-02 СМ;ОГ№2  CM ГЭС№9 (Нивские ГЭС);D420
D409201101;ГЭС09Нив-ГЭС СМ;ГЭС-9 СМ  (Нивские ГЭС);D420
D409201111;ГЭС09Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-9 СМ  (Нивские ГЭС);D420
D409212100;ГЭС09Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D410020001;ГЭС10Нив-ОГ-01 СМ;ОГ№1   CM ГЭС№10 (Нивские ГЭС);D420
D410020101;ГЭС10Нив-ОГ-02 СМ;ОГ№2  CM ГЭС№10 (Нивские ГЭС);D420
D410201101;ГЭС10Нив-ГЭС СМ;ГЭС-10 СМ (Нивские ГЭС);D420
D410201111;ГЭС10Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-10 СМ (Нивские ГЭС);D420
D410212100;ГЭС10Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D411020001;ГЭС11Нив-ОГ-01 СМ;ОГ№1  CM ГЭС№ 11 (Нивские ГЭС);D420
D411020101;ГЭС11Нив-ОГ-02 СМ;ОГ№2  CM ГЭС№ 11(Нивские ГЭС);D420
D411020201;ГЭС11Нив-ОГ-03 СМ;ОГ№3  CM ГЭС№ 11(Нивские ГЭС) ;D420
D411020301;ГЭС11Нив-ОГ-04 СМ;ОГ№4  CM ГЭС№ 11 (Нивские ГЭС);D420
D411201101;ГЭС11Нив-ГЭС СМ;ГЭС -11СМ (Нивские ГЭС);D420
D411201111;ГЭС11Нив-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -11СМ (Нивские ГЭС);D420
D411212100;ГЭС11Нив-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D420
D420212401;КдНивскх-СМ;Эксплутационные расходы Каскада Нивских ГЭС;D420
D420330000;КдНивскх-АТЦ;Автотранспортный участок Каскада Нивских ГЭС;D420
D420330010;КдНивскх-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок  Нивских ГЭС;D420
D420540000;КдНивскх-ОПР;Общепроизводственные Каскада Нивские ГЭС;D420
D420650000;КдНивскх-УпрКаскадом;Управление Каскада Нивских ГЭС;D420
D420870100;КНГЭС-ОКС;Группа КС КНГЭС;D420
D404020001;ГЭС04Паз-ОГ-01 СМ;ОГ№1 CM ГЭС- 4 (Пазские ГЭС);D430
D404020101;ГЭС04Паз-ОГ-02 СМ;ОГ№2  CM ГЭС- 4 (Пазские ГЭС);D430
D404201101;ГЭС04Паз-ГЭС СМ; ГЭС-4 СМ (Пазские ГЭС);D430
D404201111;ГЭС04Паз-ГЭС СМ Хоз; Затраты на ремонт хозяйственным способом ГЭС-4 СМ (Пазские ГЭС);D430
D404212100;ГЭС04Паз-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D430
D405020001;ГЭС05Паз-ОГ-01 СМ;ОГ№1   CM ГЭС- 5 (Пазские ГЭС);D430
D405020101;ГЭС05Паз-ОГ-02 СМ;ОГ№2  CM ГЭС- 5 (Пазские ГЭС);D430
D405201101;ГЭС05Паз-ГЭС СМ; ГЭС-5 СМ (Пазские ГЭС);D430
D405201111;ГЭС05Паз-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом  ГЭС-5 СМ (Пазские ГЭС);D430
D405212100;ГЭС05Паз-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D430
D406020001;ГЭС06Паз-ОГ-01 СМ;ОГ№1  CM ГЭС№ 6 (Пазские ГЭС);D430
D406020101;ГЭС06Паз-ОГ-02 СМ;ОГ№2  CM ГЭС№ 6 (Пазские ГЭС) ;D430
D406020201;ГЭС06Паз-ОГ-03 СМ;ОГ№3  CM ГЭС№ 6 (Пазские ГЭС);D430
D406021401;ГЭС06Паз-ОГ-БР СМ;ОГБойлер  СМ ГЭС №6 (Пазские ГЭС) ;D430
D406201101;ГЭС06Паз-ГЭС СМ;ГЭС -6 СМ (Пазские ГЭС);D430
D406201111;ГЭС06Паз-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -6 СМ (Пазские ГЭС);D430
D406212100;ГЭС06Паз-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D430
D407020001;ГЭС07Паз-ОГ-01 СМ;ОГ№1  CM ГЭС№7  (Пазские ГЭС);D430
D407020101;ГЭС07Паз-ОГ-02 СМ;ОГ№2  CM ГЭС№7  (Пазские ГЭС);D430
D407201101;ГЭС07Паз-ГЭС СМ;ГЭС -7 СМ (Пазские ГЭС);D430
D407201111;ГЭС07Паз-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС -7 СМ (Пазские ГЭС);D430
D407212100;ГЭС07Паз-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D430
D408020001;ГЭС08Паз-ОГ-01 СМ;ОГ№1  CM ГЭС №8 (Пазские ГЭС);D430
D408020101;ГЭС08Паз-ОГ-02 СМ;ОГ№2 CM ГЭС №8 (Пазские ГЭС);D430
D408201101;ГЭС08Паз-ГЭС СМ;ГЭС-8 СМ (Пазские ГЭС);D430
D408201111;ГЭС08Паз-ГЭС СМ Хоз;Затраты на ремонт хозяйственным способом ГЭС-8 СМ (Пазские ГЭС);D430
D408212100;ГЭС08Паз-ТехПрис.ЭС;Тех.присоединения к эл. Сетям;D430
D408212200;ГЭС08Паз-Подк сис ТС;Подключение к системе теплоснабжения;D430
D430212401;КдПазскх-СМ;Эксплутационные расходы Каскада Пазских ГЭС;D430
D430330010;КдПазскх-АТЦ Хоз;Затраты на ремонт хозяйственным способом Автотранспортный участок Пазских ГЭС;D430
D430540000;КдПазскх-ОПР;Общепроизводственные Каскада Пазских ГЭС;D430
D430650000;КдПазскх-УпрКаскадом;Управление Каскада Пазских ГЭС;D430
D430870100;КПГЭС-ОКС;Группа КС КПГЭС;D430
D430960000;УФКольск-Гостиница;Гостиница;D430
D430960200;УФКольск-ЖХ;Жилищное хозяйство;D430
D430960300;УФКольск-КХ;Коммунальное хозяйство;D430
